,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9092816100690116,0.9437028621919278,0.9535283993115319,0.42888113069429584,0.5665957750599919,0.9985968482017077,0.7446530612244898,0.9542681593562776,0.684705774294287
1,KNN,0.9603563068129997,0.9721985547035249,0.9236947791164659,0.4578288942695722,0.6469903191709696,0.9635697245749917,0.8439591836734694,0.9540768356146412,0.6236384789663829
2,KthNN,0.9609643389170948,0.97464419830225,0.9259896729776248,0.4544362482872534,0.6237334029221034,0.9595193343265032,0.8159659863945578,0.9508871955219312,0.6018823097177147
3,LOF,0.9189493205241236,0.7781880147685317,0.921399885255307,0.4767441860465116,0.7123049064992966,0.5514643140414293,0.9003401360544218,0.8222110464862028,0.6752966750352091
4,CBLOF,0.6961055543732709,0.24674177159266625,0.36144578313253006,0.5381309007639319,0.48352207445953765,0.4122998659551922,0.6279183673469388,0.4492554773254035,0.5881648398750842
5,uCBLOF,0.924239199829751,0.9637413613556755,0.9145152036718303,0.4543705538975543,0.5664217054917547,0.9842420786550778,0.8388027210884353,0.9553450387020597,0.5520164105076235
6,LOoP,0.9184324932356428,0.7911893717062702,0.8904188181296616,0.49493683953676065,0.7351702743243775,0.4973084026806923,0.8889795918367347,0.6822221979271439,0.7182830200232687
7,LDCOF,0.802602377405527,0.9245006153554862,0.7495697074010328,0.47752313381008693,0.5625983125504396,0.9656254180141851,0.7913061224489796,0.9111820527397559,0.5000416386014329
8,HBOS,0.8989450642993949,0.8872163842342768,0.9581181870338498,0.456228766634758,0.5576025619737321,0.9958495283971925,0.7255510204081632,0.9333756067695805,0.7993937909497274
9,OCSVM,0.9175508466847049,0.9629840007573606,0.9282845668387837,0.4814460273664058,0.5665246212121212,0.9837741320783417,0.7932108843537415,0.9466534744391482,0.5256665237891127
10,Nu-OCSVM,0.9221110874654181,0.965666319543059,0.9300057372346529,0.4566135480601385,0.5668610989847807,0.9834943221411906,0.8008979591836735,0.9474734333318757,0.5256665237891127
