,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01850863709224075,0.6245097773193983,0.3883235412847192,0.01613709292643773,0.03937349133016442,0.5211380527813468,0.19288684773093828,0.65367600328265,0.058537458249668634
1,KNN,0.030321457278555432,0.5901061285845388,0.38155432399750033,0.0142245776281112,0.059832314774557915,0.30154346047314656,0.26969103983887976,0.6041833743622034,0.061008806550104294
2,KthNN,0.02511789783061506,0.5874802286602915,0.3825544380372835,0.014058442627829983,0.05558847359163778,0.28590088309072903,0.2607963521531341,0.59986860742521,0.05795945755267477
3,LOF,0.05629271303311214,0.4690000348129798,0.3290055649014856,0.014572184920747666,0.06362375799961377,0.016410873779209797,0.269189988752251,0.27799383569938707,0.08196926235191757
4,CBLOF,0.0021604570214113087,0.07776383330086721,0.01602541540919012,0.02021197045863104,0.03191928759618429,0.00972555245296467,0.07380860863201774,0.00797940902437513,0.05137117008430311
5,uCBLOF,0.022193380094240774,0.5964460768110644,0.3819713053272764,0.013879466133269045,0.04923574958067066,0.5928464182708457,0.26194209736693874,0.6001883625704151,0.04773931390146756
6,LOoP,0.044065337520966946,0.41658140396896237,0.2646986111225679,0.014458129779570592,0.07452001128871896,0.017289882837679633,0.26879205125749933,0.19467066507322148,0.09452172307352846
7,LDCOF,0.005679602529283785,0.5198131006159921,0.21809895833333331,0.015514831391507373,0.296111149684038,0.6345057531577641,0.21037141160331477,0.36027456009891573,0.04347829954399197
8,HBOS,0.010961794129979606,0.6649534834514552,0.299097492454721,0.016208865845055705,0.05563380157107824,0.4258130455494233,0.1466757980701278,0.6505389806619452,0.09054509847775617
9,OCSVM,0.17943580462253492,0.5820012360449559,0.03236965238493417,0.3456561150024454,0.0699974719039814,0.4221542197829648,0.41257322482838477,0.48944068846993677,0.06268558081263856
10,Nu-OCSVM,0.180387798504787,0.578833448464104,0.026374533944482335,0.5081616789739604,0.06945214890624328,0.4212435750015646,0.07815298981114857,0.020141500005442896,0.06268558081263856
11,RED1,0.011956040258426375,0.6197621462717036,0.3251018226406463,0.016019721684812242,0.05283639823334589,0.8587550326842305,0.1909339923416256,0.624935761367198,0.034387873253500734
12,RED2,0.01565572810613366,0.624549069681332,0.3348455488991307,0.01575873444842513,0.04396798470492045,0.7496548344809272,0.20067103498243066,0.6469594217026607,0.0676419659135058
