,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0040770909783476835,0.6016620800474439,0.49037554415705675,0.017485963493128545,0.03432861142449636,0.5635651576796565,0.1588274318336792,0.5949720382611146,0.08726394223664541
1,KNN,0.011701241745328361,0.5522921750284813,0.16931008291265764,0.016749012034052966,0.07175375062814374,0.09671128367725768,0.3076640544948737,0.26097313949721923,0.07708290552622638
2,KthNN,0.007427343731015886,0.5527467426836578,0.1779302567072666,0.016394920931327366,0.058644361017964435,0.10150251835371343,0.25491110566537284,0.27406451871076,0.07131657081075721
3,LOF,0.04183988343855709,0.32218457068968837,0.17897889942532796,0.017344842483023842,0.10698440553706201,0.04143093476617585,0.24997384926263716,0.16693918341004382,0.1265670951922814
4,CBLOF,0.0020247499935112157,0.06987424128130104,0.016335144589632148,0.016300942033261226,0.031175776984225113,0.0560840054718773,0.08070895733962845,0.015701646905705323,0.09958626156329917
5,uCBLOF,0.004922279476275665,0.4719843642049207,0.1999657930636191,0.01744991970876907,0.03714283172010583,0.9572899217643813,0.18486171202689528,0.2598751143338078,0.07671656923024105
6,LOoP,0.054652890208337426,0.30979039079877047,0.1745095095412877,0.016794192755966227,0.14086242287112277,0.04238851033984262,0.25409904136105227,0.14009413143601934,0.11715442224126284
7,LDCOF,0.00784391263042985,0.29904659966786884,0.21567443039347917,0.017912489881690995,0.039154449735707406,0.9367243411814923,0.162518629889902,0.18045982587903564,0.05196577115632593
8,HBOS,0.004164208492588669,0.3790376109804308,0.42226659114946646,0.014823404573307565,0.034617054123457135,0.9409212745475263,0.10374686641188338,0.5585031214609899,0.11610930505261516
9,OCSVM,0.0015305402905819224,0.12514685750662502,0.03554855514022931,0.34542840615791043,0.09012204001104421,0.5539828656334892,0.0666770868637133,0.016783119868214978,0.08792208137899295
10,Nu-OCSVM,0.0009393481934316429,0.11619740995642201,0.01834236793604632,0.5081521739130435,0.09234017692659022,0.5340786021788831,0.08066029229044981,0.009051670594365319,0.08792208137899295
