,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7551150700757,0.9307330619457856,0.9684452094090649,0.5410777633875782,0.5509342147315721,0.9801129584206306,0.7641224489795918,0.9194527047710674,0.5941283448655931
1,KNN,0.9150579150579151,0.929439237590331,0.9145152036718303,0.5098635433676821,0.6975465997025404,0.7855002806507428,0.8521768707482993,0.8514070494599205,0.7447627212050701
2,KthNN,0.8843826954063174,0.9266622487298432,0.9082042455536432,0.5098541584548679,0.6635802970266534,0.8053304022337913,0.8324625850340136,0.8498573271526654,0.7257118363847895
3,LOF,0.9842823701091419,0.7915049386222349,0.9110728628800918,0.519417384612497,0.7864822000719545,0.5820359064789682,0.8417551020408164,0.855955088118249,0.7931418774110587
4,CBLOF,0.4901954823214666,0.25488339802455107,0.23293172690763048,0.4308707322108977,0.506588140493433,0.7074043640872023,0.5573197278911565,0.42043118904972226,0.6174833139428082
5,uCBLOF,0.8512753473383393,0.8831455710183345,0.9208261617900173,0.5301443399590818,0.5597112601682629,0.991151208199537,0.8250476190476191,0.858786679494468,0.7038883105749801
6,LOoP,0.9839783540570942,0.7775884376281991,0.8967297762478486,0.5141899881750098,0.8018698299427222,0.5570194916590803,0.8454557823129252,0.8455990073031007,0.788739819974282
7,LDCOF,0.8953880764904386,0.7668276057938086,0.8886976477337922,0.5279576552733826,0.5556464937347789,0.994494047732793,0.7738639455782312,0.8295524117724231,0.6041650848080338
8,HBOS,0.7855166752804548,0.8424689955505065,0.9667240390131957,0.4699870488203165,0.5373867787585971,0.9946125248961286,0.6999319727891157,0.925815585778633,0.6984924376951809
9,OCSVM,0.5468336728179248,0.5483290731799679,0.5335628227194492,0.5453854383692776,0.6290835836341853,0.989096686792497,0.532795918367347,0.542561332925176,0.7426795664686792
10,Nu-OCSVM,0.27923874380567293,0.48171289721985544,0.3080895008605852,0.5005912495072921,0.6626687717381213,0.990120890020834,0.5402040816326531,0.2655491538024227,0.7426795664686792
