,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7074453531146445,0.8899618164031682,0.9581181870338497,0.4833230099292377,0.5262717414690149,0.9921275109833426,0.7671836734693877,0.9403452573577643,0.5450572530769702
1,KNN,0.8604566321101755,0.8636435356117265,0.8995983935742972,0.49739099423766353,0.5133114746927203,0.9788666805781787,0.823700680272109,0.8100428565181265,0.5509534015063376
2,KthNN,0.837564223390995,0.8607087632932564,0.8973034997131383,0.4977570058374158,0.5116863325245146,0.976989594647584,0.8136122448979592,0.8083920059474352,0.5366119649745882
3,LOF,0.9374638980938194,0.8050112026255167,0.9059093516924843,0.49403588790660136,0.5437543576675309,0.647522999220089,0.8270068027210884,0.8380526522936983,0.6013489682199498
4,CBLOF,0.33742741616757366,0.347660071318123,0.3459552495697074,0.49642434821780507,0.5206906908615974,0.8381440921808385,0.36741496598639456,0.41727708050903045,0.5214328577551894
5,uCBLOF,0.7901985224819871,0.8485909937202184,0.8858290304073436,0.49976537717964603,0.5139009036273648,0.8753399593916338,0.8156054421768708,0.814858748414746,0.5382866940175126
6,LOoP,0.9423889581369896,0.8187383634699739,0.9099254159495124,0.49018338119638866,0.5529404714717288,0.6273515105328746,0.8431020408163266,0.8507565487383566,0.6397250627640683
7,LDCOF,0.49936156629070017,0.5167092682003219,0.633964429145152,0.49822625147812377,0.5004734848484849,0.8328331303934181,0.5191496598639457,0.6404097607906591,0.5051962525258711
8,HBOS,0.7891040646946159,0.8445517371958724,0.9472174411933448,0.46933948983613943,0.5304040489594268,0.9860291474204974,0.771374149659864,0.9490094896575851,0.6769242544853347
9,OCSVM,0.8346152676861338,0.858042222853356,0.7306368330464716,0.5560138521313137,0.5105139469911226,0.8141115728747936,0.5513469387755101,0.5272772991647353,0.5250548037474742
10,Nu-OCSVM,0.8557747849086432,0.642304900754205,0.6792885829030406,0.5011824990145841,0.518037047092716,0.8903927760014695,0.5256802721088436,0.4548229982070232,0.5250548037474742
