,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9092816100690116,0.9409889867146329,0.9558232931726908,0.48166188036113144,0.5690466143210922,0.9975640330849389,0.7446530612244898,0.9477850177111121,0.648735533647664
1,KNN,0.9547016082449153,0.9470794281927483,0.8760757314974182,0.4718874936651838,0.6245897878145109,0.9752802621886885,0.8254829931972789,0.9472219792714391,0.6757993999142734
2,KthNN,0.9490469096768309,0.9433241818927703,0.8680436029833619,0.4730746851361751,0.6090591527980131,0.977416341746231,0.808748299319728,0.9400828705120916,0.6633212907966445
3,LOF,0.8915270726294349,0.7622518855123228,0.8514056224899599,0.4646845730803161,0.6694627715702869,0.4743002139977838,0.8338639455782312,0.7449709187912713,0.6117763762170105
4,CBLOF,0.40455416045967224,0.4074600018934015,0.16695352839931152,0.3921861215909304,0.4689766433484027,0.04180180070000895,0.40780952380952384,0.32993505925569594,0.4816104341436532
5,uCBLOF,0.9419329340589183,0.928397866767648,0.8697647733792311,0.4441034592788633,0.5720013611991944,0.8928182710640294,0.8208707482993197,0.9489220273756942,0.6285273406404996
6,LOoP,0.8845955066427508,0.7709930890845403,0.8462421113023523,0.4925765339639995,0.689216480218756,0.44750926606072605,0.8372244897959183,0.5884626317400621,0.6162592615271569
7,LDCOF,0.9377983157510716,0.5079365079365079,0.5697074010327021,0.4558533701221915,0.5697955779662046,0.9646149734241709,0.7133333333333333,0.920453054620195,0.632528320372298
8,HBOS,0.8919830967075062,0.8802423553914607,0.9604130808950087,0.4473506391125626,0.5544375897199667,0.996445124562813,0.7209251700680273,0.9292484803428521,0.7814769456861184
9,OCSVM,0.9591706442100142,0.5562498027706775,0.5349971313826736,0.4418323103778366,0.5815625915054385,0.9864810677314834,0.5203061224489797,0.43867800760921843,0.614512277264099
10,Nu-OCSVM,0.6136868026631805,0.5840196913755562,0.5123350545037293,0.5211160538318599,0.5789231757163313,0.9850260407709219,0.5365646258503401,0.4489575589277124,0.614512277264099
