,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00245873757722314,0.5063932539415761,0.47205678124519346,0.014950589048456033,0.03533678074504857,0.6173577716949474,0.17303439492500544,0.5660248831724227,0.05200319663691827
1,KNN,0.035740227264032545,0.7224388354466151,0.46585327823085915,0.015653584313909563,0.08790296693678651,0.2848892903283933,0.328633062560352,0.3302076310098742,0.0479357686067193
2,KthNN,0.03261203761598816,0.7531914372187644,0.46570679270908105,0.01533370727443827,0.07114734528582677,0.31094177924027183,0.27491996915032924,0.24915037726859385,0.045094154508589904
3,LOF,0.053992736245310015,0.412308316617301,0.6379934549577406,0.016510518722274915,0.10726533327919703,0.022220027867145036,0.43268434076429174,0.21118577944979372,0.06463943725156393
4,CBLOF,0.0038213071679504334,0.10669047604662307,0.014519843746621106,0.019348159709470118,0.04001201047297246,0.013948721958440723,0.18290793487119306,0.03376662534326626,0.05202357763357574
5,uCBLOF,0.016179014117754527,0.8009383880482394,0.3438622327414801,0.015196078545336512,0.04408164846524052,0.8920293342193133,0.25762347707113,0.4879643523541099,0.04035825351370824
6,LOoP,0.04177317024009233,0.4164016692183332,0.6931918834461206,0.01726429658421519,0.13358744138141207,0.036531846091198,0.46772783793964806,0.08796767265131944,0.07655797058529815
7,LDCOF,0.008478579772815832,0.3923317815543964,0.3070126488095238,0.01140344143672471,0.048450494031620654,0.9495395588684588,0.33685199226445134,0.18656671324200236,0.040107247614136185
8,HBOS,0.0035456706910625595,0.4446793129210895,0.363345927043946,0.01561954585418587,0.0417578325064051,0.7169849539427545,0.17037532577340253,0.5997664269895594,0.08643940495331676
9,OCSVM,0.003191575281182244,0.603466545834904,0.48200560926124836,0.021106066871713697,0.043340613469462635,0.8903810259613724,0.1809197621509505,0.4928329446675223,0.036293774693001796
10,Nu-OCSVM,0.0035818517726081537,0.6064458751751773,0.4766534684049058,0.015080376262668097,0.043072614312247307,0.8898780607359934,0.18800602729588,0.46747959653475035,0.036293774693001796
