,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003484336911646956,0.4416476477154961,0.2251249339164535,0.015010738420220972,0.0372408671687952,0.7464339001493007,0.2069490638618202,0.19404786355251605,0.044977031153577596
1,KNN,0.00436838117335058,0.4143035505760826,0.23611149554918215,0.016233148995129915,0.07845490592735085,0.37626480836676024,0.26718168968132416,0.09548692222346236,0.04186475632509118
2,KthNN,0.0038342261921729516,0.409235165135176,0.25908390582551794,0.016076596499739866,0.06568803819220694,0.39123536533743797,0.24494607530130078,0.09577327469223734,0.03981113031238766
3,LOF,0.007954830198438392,0.29636434961584623,0.261531428699669,0.017176453764956186,0.08692007050089506,0.02418272624547321,0.23883994625666216,0.097440419362341,0.05692277294943851
4,CBLOF,0.0009614954873116831,0.10734155635867043,0.015760529268271484,0.014649228801059924,0.03987289312481494,0.03616310146723761,0.05697173399642589,0.03652551110325417,0.0510460653704217
5,uCBLOF,0.0031743794374562637,0.3927771276490033,0.1923707952420138,0.015976284242236467,0.04407771470925524,0.6192014758845059,0.23896960613558377,0.09001586229596706,0.03788571685662889
6,LOoP,0.008755977116889822,0.324139146639208,0.2609190367433178,0.017898144001716097,0.11036151126758267,0.032957654986551066,0.2663654930995397,0.10254223472417351,0.07203212513604498
7,LDCOF,0.0007437314067148321,0.3007763629419359,0.4173363095238095,0.038066576883901054,0.04833671440530713,0.2958728050203554,0.16145833333333331,0.03830284745176998,0.03293787980116569
8,HBOS,0.002906922454668051,0.4481847164613477,0.16337533587879036,0.016421634414214015,0.041610547074125454,0.34745922740542023,0.21158063424304402,0.1982669659068101,0.043150134974565574
9,OCSVM,0.003821798573348163,0.3790111049146721,0.259090820474617,0.016027790912914078,0.04031580620322856,0.21164847825360453,0.2075492456464848,0.08058164964652936,0.034362706495650014
10,Nu-OCSVM,0.0037914216113245085,0.3773030588206825,0.25873055936792755,0.01599913198431205,0.04003155317856598,0.2156841253800971,0.20605252462219245,0.0794900375189981,0.034362706495650014
11,RED1,0.0036074612233164497,0.4257079180686967,0.24615522225720582,0.01616245256635516,0.04186083168094185,0.04734913455559951,0.22132835239479154,0.13378588301929165,0.03175366748723008
12,RED2,0.0030028033714775988,0.45270488712435997,0.1887593099693844,0.01600707856670341,0.034695413944194876,0.18096038959627977,0.2306389703708202,0.16185765444305997,0.03774881226446604
