,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6994497309457939,0.9166272208021711,0.9644291451520367,0.4750455168271487,0.5577093694650369,0.9864539326392355,0.7849115646258503,0.9243505925569597,0.5235754087318597
1,KNN,0.9747362660748486,0.973460822367383,0.9598393574297188,0.4778046811945117,0.6887633609099479,0.9471036919777202,0.8813877551020408,0.9224920190667775,0.5945171759230911
2,KthNN,0.9733985954458395,0.9771213985925715,0.9609868043602984,0.47280252266456446,0.6574922839712825,0.939157008229959,0.8515442176870748,0.9191848515327765,0.5756150878696957
3,LOF,0.9807253823001855,0.8351793997917258,0.9621342512908778,0.4983670251703362,0.77773312237982,0.5291666571120567,0.8975918367346939,0.9305440153933615,0.6384312044577797
4,CBLOF,0.739610251421275,0.4871090914828489,0.08376362593230063,0.5385156821893125,0.531821378928931,0.1097373705254806,0.7368571428571429,0.38341277823938424,0.5648300777662115
5,uCBLOF,0.9503541787006354,0.9615323929439237,0.9586919104991394,0.46771589991928975,0.5647443382683779,0.9840457887483385,0.835795918367347,0.9269744610136879,0.5465397097544547
6,LOoP,0.9809989967470282,0.8599987377323361,0.9558232931726908,0.5157713459841958,0.7921502087439919,0.517837947190779,0.9167482993197278,0.8998994183758253,0.6806986712387484
7,LDCOF,0.82455233636336,0.5296317334090693,0.8872633390705681,0.44361075135612,0.572177481270399,0.9845616357696061,0.8350748299319728,0.9297513884637251,0.5458685934725369
8,HBOS,0.7775818563220138,0.8963993814888447,0.9432013769363167,0.4834262439701935,0.5441633144430398,0.9890379068321067,0.7968707482993197,0.9265371496042332,0.666168636335803
9,OCSVM,0.7488219377983159,0.9456909337625043,0.9661503155479059,0.57697505490174,0.5355760590973367,0.9804642113612211,0.7120000000000001,0.9094000087462283,0.5154969077215112
10,Nu-OCSVM,0.7466634238287781,0.9459118306036794,0.9650028686173264,0.44867391181935923,0.5324767587345288,0.9804758297669159,0.7106802721088435,0.9040702759434993,0.5154969077215112
