,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0163153937999978,0.6290772571838825,0.3854569708188328,0.0,0.036316969696786605,0.6651219855133131,0.20260051544084473,0.6574482761372845,0.08848290217435473
1,KNN,0.030507497647432803,0.6425776661036231,0.32654945868887,0.0,0.059892645249484545,0.41568879746442755,0.29352070109240386,0.6284731542228622,0.12471341403548347
2,KthNN,0.02456758423124303,0.6287671009657956,0.3315774636563389,0.0,0.05256672531636199,0.4210400485794432,0.268465023415258,0.6072945384413534,0.12396035702998194
3,LOF,0.05532330639246121,0.4890801961785851,0.32342264555933564,0.0,0.07249323493492126,0.018124860276567664,0.39096690453996463,0.43337005508607307,0.10091571845385729
4,CBLOF,0.0016010788091757556,0.0684369428733548,0.015308015994407216,0.0,0.029830535938328514,0.009587269377405236,0.05277864304587731,0.007886155598293372,0.11050677621599088
5,uCBLOF,0.01623231374784815,0.5395657228601617,0.32369098751589065,0.0,0.041790796832568526,0.24675305540076686,0.2687706608742351,0.6454623643842152,0.12114908417785007
6,LOoP,0.04192111062493585,0.4485438525453304,0.3298359944748928,0.0,0.08935068897701019,0.02437370470943504,0.3899802096618037,0.27483499150485907,0.07760218679488286
7,LDCOF,0.013478602524505253,0.5700569002036373,0.43833705357142855,0.0,0.05017750444294426,0.399759473126441,0.1808015848200093,0.5896441053212084,0.10904875815759801
8,HBOS,0.010487374618797948,0.6494651352225046,0.19140644700899195,0.0,0.03934016715225809,0.8059908137818513,0.12803914637536054,0.6557606661882854,0.11142888872142692
9,OCSVM,0.03839737543588345,0.12276094623155959,0.02760624250646628,0.0,0.07092963174446187,0.5490089842247792,0.060580672156246365,0.012575847655373285,0.1018134327780057
10,Nu-OCSVM,0.0014053334340047626,0.1361536131617495,0.04744006814513505,0.0,0.07103510654431092,0.5408918294278713,0.06883072062310922,0.008392809364606778,0.1018134327780057
11,RED1,0.013089743347223747,0.6347318633454188,0.32955080943802745,0.0,0.04745368272598563,0.8078021421236741,0.1716153882055583,0.6416729681259769,0.050443664524299846
12,RED2,0.013929792539128374,0.6367677615973779,0.3327029523835128,0.0,0.03648639336094563,0.6279928646365482,0.16740113123207295,0.6588712161142224,0.11373178227904947
