,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9251208463806888,0.9324055666003975,0.9644291451520367,0.4545770219794658,0.5719997012682208,0.9908268355615959,0.7796326530612245,0.9556292911182054,0.552132753658686
1,KNN,0.9690815675067643,0.9578087033355424,0.940332759609868,0.4610854590160857,0.6434883948785523,0.9131071667982654,0.8639183673469387,0.9587997988367516,0.6593203110648461
2,KthNN,0.962180403125285,0.9584082804758749,0.9420539300057372,0.4587157685305103,0.6219942137317079,0.8876240793496343,0.8417823129251701,0.959111383215988,0.6340597636397036
3,LOF,0.9033532970540844,0.8089557890750733,0.9403327596098681,0.48570677778403437,0.7197379379093195,0.5291188585833647,0.8666258503401362,0.841737000918354,0.7150823587043045
4,CBLOF,0.6089441522512389,0.3297674271829341,0.18760757314974183,0.5028530134955047,0.4808548862118712,0.2913300959766939,0.6397551020408162,0.24998360082214544,0.6198616128834733
5,uCBLOF,0.9224455051226705,0.9330998138155195,0.9311531841652323,0.45340390787769586,0.5772064862625786,0.9683449912314159,0.8534149659863945,0.9520433375606769,0.5738852489131101
6,LOoP,0.9136594412184963,0.8119536747767364,0.927710843373494,0.49644781049984044,0.7327867250382091,0.49482371999438446,0.8600816326530611,0.7468622906371627,0.7450382707733758
7,LDCOF,0.8183504089015899,0.80969737132759,0.8347676419965576,0.48691743153706096,0.5718338337118534,0.9438950756049915,0.7909115646258503,0.9179713123715397,0.5405535484661074
8,HBOS,0.9268233362721553,0.8802423553914607,0.9655765920826161,0.45755203934155453,0.5628302007227591,0.9926529890514362,0.7490204081632654,0.9454399352779114,0.819953462739575
9,OCSVM,0.9232967500684036,0.9468900880431695,0.9420539300057372,0.6076496424348218,0.5726196087673816,0.9447136636272817,0.8201224489795919,0.9588161980146062,0.5182830200232686
10,Nu-OCSVM,0.9208038184416137,0.9456909337625042,0.9397590361445783,0.5173480113369747,0.5736600925588671,0.9502164565034663,0.8244761904761905,0.9586194078803517,0.5182830200232686
