,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011559127325354426,0.5746537204911377,0.3692102075324405,0.018815576118376438,0.04024995673969473,0.08605035908146999,0.19504181569682905,0.4583255575583129,0.08018608904461541
1,KNN,0.021396503107243135,0.6137383283970965,0.37413195835255997,0.01736787045258671,0.05139145059183768,0.27993391026860437,0.23983532133335483,0.43323713225462424,0.07076959188001979
2,KthNN,0.016831004522535074,0.5986130446889677,0.36731501868254296,0.016829877573009806,0.04815239495279389,0.23001938043465792,0.21984003739430386,0.43200967359024667,0.06667531539903222
3,LOF,0.019731689051432733,0.24007227846776855,0.35959873902971,0.016810601815914303,0.05817321912383783,0.05079130006875218,0.15936404097290266,0.03860801165346302,0.07571728511839808
4,CBLOF,0.0010668148823212902,0.07256547808672487,0.014549038482238057,0.018267762900874746,0.028164168956062125,0.01426206559819913,0.04574817265695699,0.007852092130184469,0.041288681698400824
5,uCBLOF,0.011238640731196941,0.6253418535552245,0.37507055421587643,0.01781756656010311,0.04299046292513957,0.2595037899718202,0.2096297130191584,0.39442769141216777,0.05731973650308769
6,LOoP,0.014678202209415118,0.254217887254876,0.1835458935923589,0.017423826408585412,0.06493978172824806,0.027844668815061476,0.18326995055067336,0.027830705268429314,0.08611263692604143
7,LDCOF,0.005463050770999274,0.4961154241975022,0.31121465904878326,0.017552552705738148,0.03817874459354177,0.2541230105754554,0.174162511639515,0.27023690771401276,0.042255476725240576
8,HBOS,0.010024355347867112,0.5334259530310185,0.36744414967879113,0.015832091642196802,0.03807467228169393,0.13920386419160566,0.15997573575557986,0.36013104152142994,0.1405991927969793
9,OCSVM,0.0323389993886517,0.14763760082975136,0.02810004078551802,0.34543133598236125,0.058856783278049676,0.22907324981977611,0.07701879321333335,0.015820186339271243,0.06852638945677907
10,Nu-OCSVM,0.03230192382856749,0.13654876709874098,0.05070053914617415,0.5081521739130435,0.05793720910864379,0.23751919514190334,0.06348649361774886,0.013481245391950758,0.06852638945677907
11,RED1,0.012597589935620665,0.5683487720451412,0.3643373259145072,0.016827869514664855,0.043224594964333604,0.053821320896324396,0.19143762337596434,0.4528577404848409,0.04945413137507251
12,RED2,0.012863804593383283,0.551450973312088,0.3647229945659578,0.016801424228032373,0.041037401293067224,0.29334781218581263,0.1988294241815131,0.43348048078288487,0.06462732285651666
