,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9329644605235157,0.9070024298652529,0.9110728628800917,0.4926609981793269,0.5822870328089402,0.8068804657146198,0.8119047619047619,0.9478834127782394,0.6523035943910354
1,KNN,0.9582585960538718,0.9117674902963173,0.889271371199082,0.46277005086622747,0.6195124634870981,0.933629449804793,0.8500544217687075,0.9509828573927495,0.7106447859898353
2,KthNN,0.9503845803058402,0.9098740888005302,0.8858290304073435,0.45951348611971393,0.6067826620851455,0.9076768870418342,0.8375714285714286,0.9505564787685311,0.6910415773681955
3,LOF,0.8608214513726324,0.734955347281391,0.8709122203098107,0.48464628263603426,0.6531139021757761,0.6610084011774336,0.6875238095238095,0.7153321380154808,0.6939636274569837
4,CBLOF,0.36259994527711065,0.28158035911515034,0.10327022375215146,0.5484636897723221,0.4588863553785558,0.32899915842995586,0.3809251700680272,0.1468054401539336,0.5125540383320066
5,uCBLOF,0.9304715288967257,0.9117359336047208,0.8588640275387263,0.4642810218293073,0.5790846632867682,0.8569570427284703,0.8339591836734694,0.9491734814361306,0.6099283571122406
6,LOoP,0.8667497643875597,0.7284546688125217,0.8399311531841651,0.49324286277380486,0.6772030297004336,0.6168702817743649,0.7196870748299321,0.6446188831066602,0.7111769028228523
7,LDCOF,0.8750494026084578,0.859225598788223,0.8301778542742397,0.5353060420068697,0.5685526941879316,0.8621214750177525,0.7436190476190475,0.9055407355577907,0.5672157246953646
8,HBOS,0.9311403642112304,0.887153270851084,0.9099254159495125,0.46367100249638676,0.5713843132449882,0.7869461606647155,0.7599727891156463,0.916785105173394,0.8472353193313329
9,OCSVM,0.9696591980056547,0.6390861182113667,0.529546758462421,0.5454792874974191,0.5858560796882923,0.8658227525582787,0.5344625850340137,0.5524965015087244,0.6270785622435859
10,Nu-OCSVM,0.9696287964004499,0.6112846729148915,0.6907630522088354,0.5005912495072921,0.5827757778631829,0.8878179487551872,0.4824421768707483,0.49237438229763414,0.6270785622435859
11,RED1,0.9446386769221415,0.9108839029316166,0.9070567986230637,0.4606209058317848,0.5803791025682229,0.6828638962374456,0.8117142857142857,0.9483863208991122,0.5641528381605536
12,RED2,0.9463715684188125,0.9068446464072708,0.9047619047619048,0.4606490605702273,0.5791887507231162,0.8946540301217359,0.8212925170068027,0.9495615953120218,0.6675120935643867
