,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011744639573230917,0.5893872600380546,0.4312261241822769,0.014283413216203538,0.03541466750942755,0.17489846529617484,0.23300538993218578,0.4407751028792575,0.08128116933601734
1,KNN,0.04318528623194625,0.6293581428953477,0.45383529674424444,0.017984070074026325,0.05514227981828719,0.3388314300726512,0.22163882992240258,0.3395809859079199,0.10279276269477082
2,KthNN,0.02775852396451788,0.6261445748592241,0.4596885087341078,0.01629527594677129,0.047034463648734835,0.3310670923046325,0.19563188825984867,0.3576286347778427,0.09799064499112756
3,LOF,0.011657606554502072,0.3605990026621053,0.20684697859406634,0.01764958443844688,0.0656111757677057,0.0334686856230616,0.19043892305336468,0.04674970660766653,0.08490904798699048
4,CBLOF,0.0012181104269794137,0.07802209943160698,0.017420047951965174,0.017339115190237495,0.02845181754435623,0.03663438755918427,0.08892519524797926,0.008422955200485334,0.08813508901571551
5,uCBLOF,0.013918005176215045,0.5775703726252523,0.31754359994238734,0.01627348515047119,0.03747762147049144,0.23345242611994416,0.19479836735934444,0.39333335137918296,0.07618046673379474
6,LOoP,0.010602820171560048,0.30222203248225943,0.12359780370065857,0.01728879781408383,0.0785599560282918,0.02645143733201473,0.19820916090405444,0.029661829767465252,0.07494644241413932
7,LDCOF,0.00567982043727767,0.3575471326891623,0.32788978516445666,0.015006412410572052,0.03750959012921964,0.09123192813988813,0.16185395301775105,0.28096188947551115,0.05584874083920778
8,HBOS,0.00791778766614125,0.4980124072225825,0.36073081355942116,0.016079626056708783,0.03195292409002957,0.6045770962786998,0.11740149891912065,0.037172134928046704,0.1303466500921525
9,OCSVM,0.012975801989878173,0.5747679477976052,0.44205378913154775,0.013432327983468316,0.03728127888707114,0.27617622440347483,0.19881115762755847,0.39097997048314037,0.0662116964793022
10,Nu-OCSVM,0.012897784484169514,0.573783311635031,0.44474290332255667,0.015086758795127829,0.03730022420505979,0.3141719590979417,0.20568605574157592,0.3802592414291097,0.0662116964793022
11,RED1,0.013253537791436315,0.5809392932849252,0.36254714128487986,0.01648486283007742,0.035472433025910965,0.10293454700013252,0.18242102973066832,0.44663271561820395,0.09230164692708047
12,RED2,0.013295566624164427,0.5633999053488009,0.3773304566325955,0.01645369900445407,0.03520703012120866,0.11041074167810216,0.1802963784192942,0.4356819729432647,0.07802113791939405
