,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011644907024888277,0.6595147198933389,0.5584482931103476,0.01578186884372453,0.03502172731275896,0.5725665956180085,0.14320366623847763,0.6251586056624774,0.10765484938197535
1,KNN,0.036518304857066676,0.6300288447645954,0.43594449416558423,0.017946939016368815,0.05173512444473005,0.2256991543446658,0.2472919742793921,0.37965740623333083,0.1055322836388354
2,KthNN,0.025424332491974167,0.6260867955725201,0.4432152776544021,0.016368431579143698,0.04544664267944343,0.230530710720196,0.21060071399585867,0.41123866397462155,0.10253893197122367
3,LOF,0.013152109476956842,0.3697601203215955,0.3752192400030807,0.01905722730292336,0.06652373107753101,0.07675794702920427,0.19740151848362697,0.07704954901189191,0.07592996928204737
4,CBLOF,0.0013909705680158094,0.09870053138686126,0.01711710184197682,0.020669375471572438,0.029464678292801125,0.022054418504037696,0.07139460227842764,0.008560350110542821,0.05212597148022205
5,uCBLOF,0.010207938315211855,0.6632441888070011,0.3579703756151509,0.015282361056136916,0.03788354967064889,0.21192770681458226,0.19927342542488014,0.40522921790258365,0.07688167852875977
6,LOoP,0.01605489708945807,0.3010468300339232,0.2608542156776952,0.017296265751815657,0.07819179883803416,0.06941195275377383,0.20410736900602539,0.044588542663387035,0.06909054710695117
7,LDCOF,0.013896343799942885,0.45450788104527745,0.3361281627578036,0.014851571268598384,0.03643231523620705,0.2354110885963211,0.14702582100990097,0.33968832605303106,0.05186097093098675
8,HBOS,0.005640003852133903,0.3641655129071795,0.4892289795052616,0.0164302426384479,0.032380129318020194,0.9329570527435063,0.10855681949497051,0.5719532859005265,0.15726224260928517
9,OCSVM,0.014585605790422175,0.11245991853873122,0.05648156955939817,0.34543133598236125,0.06305282210368904,0.25529142876331057,0.052619365978740895,0.013792075312576512,0.10883314571577088
10,Nu-OCSVM,0.0012328061439968497,0.11317721212997353,0.01749018863394106,0.5081521739130435,0.06300446708485619,0.2612603854694327,0.06170399562280983,0.008219017498596362,0.10883314571577088
