,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9252728544067128,0.9333207106566948,0.9707401032702238,0.47417271993543175,0.5611454265804998,0.9768627603854151,0.7589251700680272,0.9485831110333669,0.6473865654277141
1,KNN,0.9554920499802388,0.9239799299441447,0.9122203098106714,0.4667680237250596,0.6509348731243616,0.958803885133715,0.8515510204081633,0.9478068832815849,0.8092743861367949
2,KthNN,0.9504757851214544,0.9214869513080248,0.9162363740676994,0.45810574919758995,0.6221117619528421,0.9584187196975545,0.8349727891156462,0.9493210740368216,0.8016937113465188
3,LOF,0.8318487216125011,0.7984474107734545,0.9150889271371199,0.48596017043001666,0.7013866477495911,0.6630039133134444,0.7729387755102042,0.7787860235273538,0.7110281060559672
4,CBLOF,0.49636700817803175,0.2593644482312475,0.2736660929432013,0.4718734162959626,0.47999311700554925,0.46086092895778064,0.4667619047619048,0.2328901911050859,0.43419753842385644
5,uCBLOF,0.8711883987474539,0.931742876076872,0.9082042455536432,0.4534789871802091,0.5755092277655175,0.9441231122957129,0.8294557823129253,0.9420781038177286,0.7765635907170412
6,LOoP,0.85927096950719,0.7821010445264918,0.9018932874354562,0.4971610638737165,0.7272787532406316,0.668077309279157,0.772748299319728,0.6704585210128131,0.6687710489253567
7,LDCOF,0.8294165931961207,0.8988923601249644,0.9070567986230638,0.46603600052555516,0.5530143174765568,0.9341344937470811,0.7281632653061225,0.9164407224384484,0.6661404690465985
8,HBOS,0.8601526160581279,0.8387768626337215,0.9695926563396443,0.4530097415395011,0.5413781037082468,0.9970784295890218,0.6862040816326531,0.9230933222547776,0.8075782254607801
9,OCSVM,0.7084182044811966,0.5291426046893243,0.5507745266781411,0.5454792874974191,0.607531123566266,0.9565216073045121,0.4411632653061225,0.49632658416058073,0.7966787092033557
10,Nu-OCSVM,0.4459307451433435,0.5021931900659535,0.2880091795754446,0.5005912495072921,0.6192729591608996,0.9652807641241977,0.5244489795918368,0.19089189661958283,0.7966787092033557
