,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00245873757722314,0.5063932539415761,0.47205678124519346,0.014950589048456033,0.03533684594016844,0.5487884236221511,0.17303439492500544,0.5660248831724227,0.05200319663691827
1,KNN,0.005794055610767795,0.4284637701398566,0.32673185017130313,0.01621996233489474,0.07191521560949532,0.3626673599127306,0.26860570427057456,0.11975354496539549,0.057276738226459324
2,KthNN,0.004961407335688051,0.42138068598271405,0.3280573254901851,0.016151012926456564,0.060582340613916874,0.4052453485636424,0.24565023837234776,0.11940418710043234,0.05431903469033526
3,LOF,0.017477463635319018,0.3140026881476038,0.29321058147947954,0.016575751417437588,0.10779751536754932,0.02503423777080698,0.2624748548581623,0.11074566585536914,0.07555436530699777
4,CBLOF,0.0010784045129629577,0.09405911913506071,0.026910083746413314,0.01665165144792196,0.03694380802801362,0.2207569938566747,0.06159406262632772,0.009791604171904795,0.0869168852023229
5,uCBLOF,0.003240609827463127,0.4198878050491361,0.3558682988120621,0.01615377382156529,0.042307101293433146,0.7745541695458199,0.23967201070286995,0.11214903184247636,0.04728449609601479
6,LOoP,0.012078172723455136,0.3460685982001893,0.28772305776081486,0.01602167141349528,0.1370765738205917,0.03248795749729186,0.2890151842214811,0.11034980281688862,0.0834615692550203
7,LDCOF,0.0007437314067148321,0.26017317737198264,0.18204453656462585,0.0525916745139312,0.11661284271284272,0.16687392202960444,0.1744047619047619,0.03865430744522379,0.08929678047628883
8,HBOS,0.00357409460124839,0.4428178052826114,0.3701644024914168,0.01539196384733122,0.035381452496748074,0.8977163750759614,0.1478642313673033,0.6206305085409028,0.08917205335595946
9,OCSVM,0.006203930767626471,0.47328623595980923,0.02343193000362963,0.34565674974185123,0.0636238419119012,0.7293780886329899,0.06876744984584829,0.015145049955140707,0.054564852364150714
10,Nu-OCSVM,0.006413864906432523,0.19677178004611823,0.023607583574795605,0.5081616789739604,0.06460508864757614,0.7328362221486784,0.06283932339224413,0.015881861333946323,0.054564852364150714
