,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.009550035236703482,0.6120809426065037,0.4556556593929438,0.015245922141688503,0.037999316019474726,0.6002538009767895,0.17993945937918698,0.6113247386122214,0.045243874652706725
1,KNN,0.04845188470120123,0.7450361609115652,0.4302492933932466,0.014806686942191569,0.08732516902250176,0.209381615836928,0.3165401960904086,0.5306325915682742,0.05272137210833074
2,KthNN,0.04143606213965694,0.7706112778973571,0.4484709179074167,0.01451105837408798,0.07307997020664288,0.20146194059431882,0.2549769907381302,0.47879526562748737,0.04833185521736526
3,LOF,0.058987529599133025,0.38895205316082776,0.5693397044218889,0.016701312577013124,0.10323479156687082,0.02341002551170318,0.4164980905928272,0.45745923337148836,0.08834774925442615
4,CBLOF,0.0013701469790871692,0.13300200326576866,0.014334229052573503,0.022084172827174387,0.039513483542692726,0.013061918102689996,0.199658791844976,0.03690428087341989,0.05846632766027287
5,uCBLOF,0.01736681501448367,0.858438006273056,0.46448111316532364,0.014154247173813864,0.0460472013929814,0.8938512731012819,0.23269945191876143,0.551206138998159,0.03859976037050224
6,LOoP,0.04372207838933,0.35875109723352666,0.5759316097560303,0.01805257124486652,0.12963861136565036,0.032466400120636174,0.4432155961332309,0.21806038829994764,0.09764422879463419
7,LDCOF,0.0746048153442466,0.5047409836950653,0.2794164540816326,0.01311096966109996,0.047017277484027224,0.4915173671064909,0.2285076530612245,0.19628388015892825,0.030146158413476242
8,HBOS,0.01060713666340636,0.549662065703377,0.4625629039494585,0.01625589353580316,0.04129614080847792,0.7506428961583395,0.17023432226536106,0.5733537621305498,0.10287291952325182
9,OCSVM,0.007213755397599232,0.6682971939263199,0.4325493833897195,0.02027751895248659,0.04755585606801245,0.8934320947998898,0.1698929569389542,0.5589054924786839,0.033771775752634695
10,Nu-OCSVM,0.007875048944366166,0.6611493087349549,0.4358052192168733,0.015515436191931832,0.047185674497625285,0.8929312876098108,0.18307064327571887,0.549416757775779,0.033771775752634695
