,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013553133591928166,0.5368436502343961,0.2429794367000198,0.013266002495341982,0.042414091181580876,0.08626718425293427,0.22026286992078858,0.4609325256601843,0.05556799155118361
1,KNN,0.017126294743283067,0.52128528047761,0.25149192829881706,0.013973435963440292,0.06946710732681752,0.13026691120163753,0.2750554060890673,0.3590581738955557,0.05411419359093547
2,KthNN,0.015310534941614658,0.5175986273238425,0.25071156857825255,0.01389127568036856,0.06347409266902647,0.1095446721466791,0.25146160686282976,0.3574812074201251,0.05059969853717047
3,LOF,0.00754028881012615,0.4647820998201592,0.39796909876824876,0.01514793980978751,0.06243265944337874,0.0402096245879855,0.27412679074468677,0.26452911409807794,0.07636066358395166
4,CBLOF,0.0010366696055661181,0.0985648427708843,0.02063969130945285,0.015740347227994625,0.032973153691327244,0.19022607052535076,0.04760199965641913,0.007899278584651108,0.0882464374403207
5,uCBLOF,0.011007183969349047,0.4899421010035508,0.24791132497471552,0.013750790102687722,0.056383783959298925,0.057064459120881615,0.2643996788252548,0.35999563068835716,0.04070690122664955
6,LOoP,0.009688969195836148,0.4679825096491403,0.5027690961675859,0.015842978080081265,0.0706017833807929,0.03879702328112787,0.26759080941723257,0.25787148446622615,0.0813307477806709
7,LDCOF,0.011207632417904198,0.539396600152952,0.14496970663265304,0.014705574127830816,0.3949933067954563,0.08969240915976646,0.1773469387755102,0.07633790358248563,0.03407410657547065
8,HBOS,0.011141095346004645,0.5578386412701658,0.39894046991614746,0.015965548505933732,0.06213236765291916,0.04082564579701602,0.20837530992327455,0.4779749579280291,0.08133627522932188
9,OCSVM,0.009599210695264766,0.47977088161968895,0.2451292401121735,0.013988154492403647,0.05707997910693441,0.0546488552085518,0.2013108003328022,0.3498590934860319,0.030133947832311575
10,Nu-OCSVM,0.009422666545947825,0.4761506955338216,0.237535106954817,0.013938468421750621,0.0565006269310665,0.05742622515035311,0.2081044043186889,0.3473727966580257,0.030133947832311575
11,RED1,0.012899118950998493,0.5451019012062254,0.2629894190685983,0.015205006964483653,0.059516881944078934,0.039905164502807296,0.20865979693129078,0.4471247396887127,0.0333749377747701
12,RED2,0.015418292681755643,0.5215962113297394,0.3939540776737772,0.014953264574738785,0.0488216058532656,0.25830252624765093,0.2516420629766658,0.4359069296771011,0.054966127114712826
