,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9379503237770954,0.9032156268736785,0.889271371199082,0.4303639469189332,0.5828243064334125,0.7978484801927839,0.8060952380952381,0.9490313552280578,0.5907458208315474
1,KNN,0.936886267594929,0.8999337309476474,0.8674698795180722,0.44700808979484574,0.6162379636870711,0.91410507574003,0.8345578231292518,0.9405311147067827,0.6784152838160553
2,KthNN,0.9303195208707019,0.898718798321184,0.8628800917957544,0.4462901439645625,0.6055032319274527,0.8863532397898801,0.820625850340136,0.9405529802772554,0.6598732471985793
3,LOF,0.891010245340954,0.8754772949603963,0.8508318990246702,0.46582953244364356,0.6623376364323771,0.665489895426705,0.8059591836734694,0.9306424104604889,0.7006533586430715
4,CBLOF,0.33271516736083667,0.3680141373978352,0.2581755593803786,0.4973346847607786,0.4936377775069812,0.6943409956209312,0.36810884353741496,0.15380788909782658,0.6970816239054559
5,uCBLOF,0.9158483567932387,0.8816308498217046,0.8502581755593803,0.44530472811907573,0.5756572266531685,0.6915367303411353,0.8235238095238095,0.9386889403944549,0.5664111199559121
6,LOoP,0.9118353449062111,0.8829246741771593,0.8399311531841652,0.47636878953394524,0.6793139736839285,0.6451997257444761,0.809469387755102,0.923372108278305,0.6788757577613128
7,LDCOF,0.9363390387012435,0.5624033576319859,0.6290877796901893,0.4974660735401768,0.4667566460846386,0.5043786611672879,0.5119183673469387,0.5699151615865657,0.489127426367032
8,HBOS,0.9277657860335027,0.9086749345198649,0.912794033275961,0.4543799388103685,0.5386642142093216,0.5231385899994574,0.8187210884353742,0.9456203262343115,0.7277447798665115
9,OCSVM,0.8824977958836226,0.8800214585502856,0.825588066551922,0.4493214708035362,0.5682817488162321,0.7359687240671963,0.7766258503401361,0.9413237416364193,0.42949237646194355
10,Nu-OCSVM,0.8767822941051286,0.8728580895578907,0.8473895582329317,0.43495316928505734,0.5612856837732736,0.7443147650317583,0.7715238095238095,0.9425318144050379,0.42949237646194355
11,RED1,0.9225063083330801,0.9090536148190224,0.9013195639701664,0.4539951573849879,0.5785611573250773,0.6409014252165776,0.8078095238095238,0.9439038789522018,0.4914004041393669
12,RED2,0.9407168698507281,0.9079175739215501,0.8973034997131382,0.4536666854364923,0.58498740572708,0.87122806293405,0.840625850340136,0.9476319587178029,0.6182817953585207
