,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013553133591928166,0.5368436502343961,0.2429794367000198,0.013266002495341982,0.04238118174534733,0.08684162740304253,0.22026286992078858,0.4609325256601843,0.05556799155118361
1,KNN,0.01925392262395635,0.5089015474700159,0.2731530044636812,0.013859686592926197,0.065704378957166,0.14444721116049836,0.30032875153453054,0.3825999607304438,0.059031624450971404
2,KthNN,0.017268816338799522,0.5041056066317328,0.29269493043077943,0.013786914042495695,0.062209017706557665,0.12125024873413826,0.286386416978652,0.38388331963911093,0.05633413002482285
3,LOF,0.015058319570936335,0.45274022513656387,0.5046720706268939,0.014880335437446393,0.06517900446190944,0.0436198589392303,0.28313458136610486,0.28919005790914004,0.07540445222482207
4,CBLOF,0.0009547873289799635,0.09767945459239727,0.023061213011207282,0.01606054284552239,0.03448391992858997,0.2064988916018669,0.04666894746645932,0.007666693878034697,0.04018404270567685
5,uCBLOF,0.013955965772385186,0.5205887430345422,0.2962815134864447,0.013660330282168554,0.0560677868586554,0.052662044839044235,0.2660304694715291,0.3737951813584768,0.046738171688866834
6,LOoP,0.021026161618968073,0.4604563217567595,0.45575683623924834,0.015271461834313008,0.07652588660583375,0.039591504045454334,0.2590441270252054,0.27180668395539964,0.07874821475606752
7,LDCOF,0.027577762739254434,0.4760031212691976,0.18238467261904762,0.014576405579485325,0.2974108215816678,0.05429042212034266,0.18061190150315426,0.1605135202620221,0.037572249255838006
8,HBOS,0.009454874076949699,0.5713232974292458,0.3966365600315386,0.01610555123492774,0.05735427002849651,0.039859008135579785,0.19156190815439617,0.44921963572047463,0.08859092885263528
9,OCSVM,0.09246978270871076,0.5402538898819138,0.03945933019680081,0.3454355035569639,0.07709033513177904,0.08007183555726258,0.4279659921892632,0.48979297048507026,0.06111482267557804
10,Nu-OCSVM,0.02103382600706309,0.5273188366560656,0.023468848990526796,0.5081585081585082,0.07712897665142204,0.08885567344723161,0.09051087682908812,0.012244151224138074,0.06111482267557804
11,RED1,0.012899118950998493,0.5451019012062254,0.2629894190685983,0.015205006964483653,0.059516881944078934,0.039905164502807296,0.20865979693129078,0.4471247396887127,0.0333749377747701
12,RED2,0.015418292681755643,0.5215962113297394,0.3939540776737772,0.014953264574738785,0.0488216058532656,0.25830252624765093,0.2516420629766658,0.4359069296771011,0.054966127114712826
