,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9379503237770954,0.9032156268736785,0.889271371199082,0.4303639469189332,0.5826426486092959,0.8038601643341953,0.8060952380952381,0.9490313552280578,0.5907458208315474
1,KNN,0.9424193597421944,0.8996812774148758,0.8697647733792311,0.4468532387334121,0.6178508586334712,0.9225355030196389,0.8488027210884354,0.9445871780294748,0.6594807421468373
2,KthNN,0.9379503237770954,0.897740540881694,0.8714859437751004,0.4458021284982262,0.6067718795083168,0.8955099702991764,0.8373197278911564,0.9447621025932567,0.6419068030126753
3,LOF,0.9155139391359863,0.8913187541418157,0.8594377510040161,0.4616626311541565,0.6609691837580971,0.6744415712670713,0.8236054421768707,0.9283957230944155,0.7253395383013901
4,CBLOF,0.2525461344358982,0.31809145129224653,0.19449225473321857,0.49559847589015893,0.5164492742949172,0.6543331684844631,0.37997278911564625,0.11984519176105306,0.5208584899883657
5,uCBLOF,0.9351229744930531,0.9012906686862949,0.870338496844521,0.4457082793700846,0.5764595452224341,0.7144458313491593,0.8185578231292516,0.9456312590195479,0.5582903680117568
6,LOoP,0.9308667497643875,0.8831455710183345,0.8301778542742398,0.46405578392176733,0.6786313933287625,0.6370936965817682,0.8059319727891155,0.9221749682949228,0.7187171636764437
7,LDCOF,0.9298634967926307,0.8599514026949413,0.631956397016638,0.45815267376166074,0.46997091410362163,0.7359287730581401,0.7638775510204081,0.826360038483404,0.49678525503643384
8,HBOS,0.9184628948408476,0.9088011612862508,0.912794033275961,0.4552808904405278,0.5372916326311071,0.522895928385778,0.8034013605442177,0.9415587965190012,0.7497177147755802
9,OCSVM,0.9473748213905695,0.8972829688535454,0.6371199082042456,0.5456106762768174,0.5816730396856855,0.720512728396581,0.8711768707482993,0.9384484191192549,0.5355605902884085
10,Nu-OCSVM,0.9469035965098958,0.8738363469973808,0.47016637980493403,0.5009854158454867,0.5799841924354909,0.7452254849728916,0.6024489795918367,0.45742226789696944,0.5355605902884085
11,RED1,0.9225063083330801,0.9090536148190224,0.9013195639701664,0.4539951573849879,0.5785611573250773,0.6409014252165776,0.8078095238095238,0.9439038789522018,0.4914004041393669
12,RED2,0.9407168698507281,0.9079175739215501,0.8973034997131382,0.4536666854364923,0.58498740572708,0.87122806293405,0.840625850340136,0.9476319587178029,0.6182817953585207
