,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012992782552654038,0.6040019102072018,0.5242971470885005,0.014548279291146732,0.03669361441485249,0.38746642889107424,0.1557499531374874,0.6302118580031579,0.047629668692266675
1,KNN,0.05625977900805348,0.7713922033897045,0.50790462964376,0.01607173129528015,0.08878733828533616,0.21482629467409778,0.34744263849790163,0.5361602887858659,0.06467186319903992
2,KthNN,0.0435800939658737,0.7932347113678864,0.4650020614306329,0.015036022722741758,0.07290127801717436,0.20599017896811234,0.2785465096969551,0.5103364253538458,0.05956001153532364
3,LOF,0.04875945036981741,0.40378624590248363,0.5954805791353682,0.019677515011524184,0.09499179512473496,0.02370642688116639,0.4918968838035113,0.46414262753823327,0.08247129309296622
4,CBLOF,0.012647075947501396,0.0859010369863453,0.01572247715104482,0.017912211327205524,0.03970346161298524,0.08338915723636968,0.1078155467987108,0.02684304824356112,0.09651094579745755
5,uCBLOF,0.018925392894751803,0.8125310366327858,0.48164734705706813,0.014896118923468257,0.049014335029081986,0.8384066919270199,0.2792104068379721,0.5880313669979762,0.046286494910763996
6,LOoP,0.04595049627375838,0.3813139689560394,0.5856762804695135,0.021272159846586695,0.11519196051821598,0.030205982631060998,0.4938452607067464,0.24435378002105163,0.07876765241334337
7,LDCOF,0.16791233519589172,0.7590007030754093,0.5881952781112445,0.052796322151369326,0.053475403692164344,0.9198046341595166,0.33853303406669116,0.3599221234605434,0.03699891835977227
8,HBOS,0.012415900536808081,0.5347739924166782,0.4926890266031971,0.015829286355315407,0.03913785882964327,0.7983407998353267,0.1483329832923806,0.5833238983051673,0.13599641064032236
9,OCSVM,0.008497324281292865,0.7005042178532175,0.5037564148466405,0.016571132310535502,0.05148971453707108,0.8881514103695615,0.20306494793101204,0.5741497967424942,0.03363680938230074
10,Nu-OCSVM,0.009477621554738646,0.6892516411244284,0.505315523338522,0.012677411093742846,0.05094164358883275,0.8887066190407625,0.2175281854419287,0.5638521714637811,0.03363680938230074
