,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9304107256863161,0.9308592887121714,0.9644291451520367,0.45415470090282867,0.5644120591446518,0.9746473648258374,0.7503129251700681,0.9551154502120961,0.5625197477190619
1,KNN,0.9800261453804762,0.9742497396572943,0.9598393574297189,0.46158285939523613,0.6800181749887515,0.9526388940908431,0.8903809523809524,0.9654523986530809,0.7392492805094605
2,KthNN,0.9741890371811631,0.9774685222001326,0.9609868043602984,0.4520806351708993,0.6485712290608774,0.9467079527732192,0.8610952380952381,0.9653922683342807,0.7214934786602167
3,LOF,0.9650685556197368,0.8594780523209946,0.9609868043602983,0.47828331174803385,0.7605494750935587,0.5189583589715367,0.9073605442176871,0.9716130231337735,0.7505413018186271
4,CBLOF,0.8847171130635698,0.40872226955725954,0.20539300057372348,0.5429265912119676,0.5493371937469201,0.8292648785023059,0.7121904761904762,0.10218874360432063,0.6838429979793031
5,uCBLOF,0.9416593196120755,0.9626053204582031,0.9558232931726908,0.45101075511008504,0.5752397888857941,0.9837683228754941,0.8800272108843537,0.9656874535356628,0.6286020451901291
6,LOoP,0.9720609248168303,0.8752248414276247,0.9609868043602984,0.502932785254425,0.7742843158785594,0.4879538280481053,0.91421768707483,0.9596853544408974,0.7280399240707855
7,LDCOF,0.9318396011309398,0.967338824197671,0.7816982214572576,0.5190419880999305,0.5851494094105085,0.9913299685818946,0.8344761904761905,0.9158120872873573,0.504956218235258
8,HBOS,0.9409600826923661,0.8826406639527912,0.9581181870338497,0.45162077444300536,0.5571345590821604,0.9945506110236758,0.7565986394557823,0.9531256832990772,0.8079713428448962
9,OCSVM,0.8678746237801356,0.9569882293540345,0.9615605278255881,0.5071888432156465,0.5562594127850506,0.9887257640948969,0.7766666666666667,0.9468939957143482,0.4621725552629968
10,Nu-OCSVM,0.8436141428267411,0.9573669096531919,0.9627079747561675,0.3925896728419393,0.553927865370057,0.9896889706933358,0.7724625850340137,0.9448604976603838,0.4621725552629968
