,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.015278018626294916,0.5337997270002226,0.24052298732458452,0.01492401507048375,0.03871832760096226,0.15713004315591472,0.21864308195390403,0.4569836012959931,0.06321323024777412
1,KNN,0.02032046321112845,0.5519126516042735,0.3874262443157507,0.014945480580804433,0.06526113998926432,0.33062310064278333,0.30786189330395114,0.41471938806550446,0.08448007444461522
2,KthNN,0.01918580192561718,0.5451480422501649,0.40980432902027464,0.01438938848635658,0.05841525538535311,0.2849376612477828,0.2901156035595226,0.43247978582946234,0.07943127419685445
3,LOF,0.02260804614253575,0.487624666077979,0.41498613418652464,0.014882597556595241,0.08055517170771731,0.058747898647702634,0.3377228920982468,0.3091735370496681,0.09492631128726063
4,CBLOF,0.0014359037756737337,0.07942396945721472,0.014744899965370697,0.01679354238769877,0.028812793129038835,0.09077522403982005,0.057952674759440374,0.007650817960358413,0.10635556985112803
5,uCBLOF,0.01420878636520367,0.5442565883090379,0.3503657722090053,0.01391921131108455,0.049111687973653576,0.2701793210315244,0.2571703784107109,0.41246985528405833,0.07201236081270401
6,LOoP,0.024181411142128857,0.4705605536210727,0.41804596142776557,0.014979321582242775,0.09427248025105733,0.03397292066546625,0.32712034464194834,0.2748950867728637,0.09173703867427653
7,LDCOF,0.008366090569680176,0.5394250548713374,0.35660672305333996,0.013655799535447884,0.05495701305908403,0.22803452484288758,0.2176069873126549,0.20638500621507097,0.04882197912753058
8,HBOS,0.012313917086844263,0.5614144284711912,0.372550152701798,0.015577727354083037,0.043913762046181734,0.18990503033953907,0.16846274153586205,0.45688405418828304,0.11986181145442301
9,OCSVM,0.02614016202096991,0.11332949938514852,0.024025774285351457,0.34543133598236125,0.07643661790382572,0.2547524195954459,0.05964146636799467,0.015383626255106775,0.08578965747650444
10,Nu-OCSVM,0.0011063256300616595,0.10418143495230456,0.022015377604806426,0.5081521739130435,0.07629023055883932,0.2694634825094561,0.054356813189124414,0.007939770298437983,0.08578965747650444
11,RED1,0.013576411505441746,0.56324304489419,0.25792704213756845,0.01577172592429247,0.053159899225615585,0.044938424847580885,0.20805409355835852,0.47649059465452753,0.048251009730416
12,RED2,0.015348672354808742,0.5317216530348444,0.3749562486302285,0.015526852304120067,0.04097650536974651,0.21892042871416165,0.21933881249611265,0.45849389940679974,0.06351341692682314
