,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011744639573230917,0.5893872600380546,0.4312261241822769,0.01858860248549063,0.03528497547747266,0.4086219418121669,0.23300538993218578,0.4407751028792575,0.10818613920995628
1,KNN,0.04318528623194625,0.6293581428953477,0.45383529674424444,0.017741527327996495,0.05512402707012108,0.3500593229963894,0.22163882992240258,0.3395809859079199,0.12262823921778165
2,KthNN,0.02775852396451788,0.6261445748592241,0.4596885087341078,0.017019622253621587,0.04696477900641751,0.3372336277123933,0.19563188825984867,0.3576286347778427,0.12515954566072474
3,LOF,0.011657606554502072,0.3605990026621053,0.20684697859406634,0.01845937194438947,0.06572138663520359,0.025824057546266564,0.19043892305336468,0.04674970660766653,0.07019146850632463
4,CBLOF,0.0012181104269794137,0.07802209943160698,0.017420047951965174,0.024375740422027545,0.02921197788674239,0.034892588839768916,0.08892519524797926,0.008422955200485334,0.05285818979347444
5,uCBLOF,0.013918005176215045,0.5775703726252523,0.31754359994238734,0.016137637818884186,0.036983937954674265,0.21062246852647662,0.19479836735934444,0.39333335137918296,0.07792003307432202
6,LOoP,0.010602820171560048,0.30222203248225943,0.12359780370065857,0.016804566965022,0.07809844936744453,0.024361921976458496,0.19820916090405444,0.029661829767465252,0.060542083141540824
7,LDCOF,0.01102287939168722,0.5545921304224031,0.494047619047619,0.017105677391270332,0.03638707431392083,0.12087647476645814,0.18792557507456747,0.33241266385308044,0.06137139337883495
8,HBOS,0.00791778766614125,0.4980124072225825,0.36073081355942116,0.015492329312842848,0.031854343932448057,0.6714301633149331,0.11740149891912065,0.037172134928046704,0.1341124879940614
9,OCSVM,0.012975801989878173,0.5747679477976052,0.44205378913154775,0.0171914948594713,0.03711754964215598,0.2723642396472717,0.19881115762755847,0.39097997048314037,0.0720541802389049
10,Nu-OCSVM,0.012897784484169514,0.573783311635031,0.44474290332255667,0.017340168737080133,0.0371299332147568,0.31439376240234645,0.20568605574157592,0.3802592414291097,0.0720541802389049
11,RED1,0.013253537791436315,0.5809392932849252,0.36254714128487986,0.014741892810298855,0.03537876733090825,0.09323061369914123,0.18242102973066832,0.44663271561820395,0.08331119830946616
12,RED2,0.013295566624164427,0.5633999053488009,0.3773304566325955,0.014704552835644747,0.034738556528196574,0.08743198178860018,0.1802963784192942,0.4356819729432647,0.09797502479349818
