,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9379503237770954,0.9032156268736785,0.889271371199082,0.4861384837734858,0.5835208218393575,0.7862623308611097,0.8060952380952381,0.9490313552280578,0.6037633947706815
1,KNN,0.936886267594929,0.8999337309476474,0.8674698795180722,0.4796065844548304,0.6159060332883394,0.9040443517350025,0.8345578231292518,0.9405311147067827,0.6609809564631681
2,KthNN,0.9303195208707019,0.898718798321184,0.8628800917957544,0.47655648779022847,0.6051296777133817,0.8792018053371797,0.820625850340136,0.9405529802772554,0.6515798175249525
3,LOF,0.891010245340954,0.8754772949603963,0.8508318990246702,0.5286802935600728,0.6623051631608925,0.6483561357284575,0.8059591836734694,0.9306424104604889,0.6646476027187558
4,CBLOF,0.33271516736083667,0.3680141373978352,0.2581755593803786,0.5417628620230118,0.5034861619226676,0.6886677485033021,0.36810884353741496,0.15380788909782658,0.6969493601126691
5,uCBLOF,0.9158483567932387,0.8816308498217046,0.8502581755593803,0.4777671415432551,0.5730933167998629,0.6884008818777586,0.8235238095238095,0.9386889403944549,0.5859114567387179
6,LOoP,0.9118353449062111,0.8829246741771593,0.8399311531841652,0.5203464909810988,0.6792421084370692,0.6294052675711187,0.809469387755102,0.923372108278305,0.6391917212663033
7,LDCOF,0.8918310886814824,0.8344851525766038,0.6290877796901893,0.4973534545864069,0.4683630965931409,0.5038763944316242,0.519013605442177,0.5096153846153846,0.5293931786173535
8,HBOS,0.9277657860335027,0.9086749345198649,0.912794033275961,0.4696961165230775,0.538601750588313,0.5215502316419635,0.8187210884353742,0.9456203262343115,0.6876639519931418
9,OCSVM,0.8824977958836226,0.8800214585502856,0.825588066551922,0.5132421119807796,0.567528921298181,0.7352721802626219,0.7766258503401361,0.9413237416364193,0.33723715632845513
10,Nu-OCSVM,0.8767822941051286,0.8728580895578907,0.8473895582329317,0.5198397056891342,0.5606012621501368,0.743563798168929,0.7715238095238095,0.9425318144050379,0.33723715632845513
11,RED1,0.9225063083330801,0.9090536148190224,0.9013195639701664,0.4690110178876438,0.5782322120122982,0.6400243884603752,0.8078095238095238,0.9439038789522018,0.42708346090257787
12,RED2,0.9407168698507281,0.9079175739215501,0.8973034997131382,0.47230512228541394,0.5844432691947165,0.864890681248785,0.840625850340136,0.9476319587178029,0.6361080154307758
