,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.002828965878306631,0.44497102014847517,0.19976112483819364,0.01599889751248457,0.03606698376276177,0.6473303012604497,0.24309679856677807,0.18478639866087831,0.04394956493501342
1,KNN,0.006628125316173183,0.465009411206763,0.19971886521648538,0.016558638489675814,0.08370795830911712,0.2772216434769858,0.30064562554186186,0.13939898572480275,0.04738470346986804
2,KthNN,0.0055664602535496766,0.4575193048678239,0.2138160486634603,0.01639332755937825,0.06733325675231985,0.3172185116552098,0.2660887373599479,0.1387454058958642,0.04461023111582006
3,LOF,0.019517878880513914,0.3754561289885996,0.28182782768259074,0.016640242099765314,0.0957160438663584,0.02704942125332012,0.2935729420306771,0.12796769400743319,0.07408432773760269
4,CBLOF,0.001613022714113043,0.0691850884620233,0.017994799548886352,0.014888940731723872,0.04361278932710229,0.013450999230985706,0.05616403280705167,0.014469312791905905,0.06569237530420223
5,uCBLOF,0.004313901002669325,0.4296924590667336,0.2422005186952014,0.01689782509153858,0.043851316201658476,0.648900648649205,0.2242544779519011,0.11645025911809337,0.04273873247767691
6,LOoP,0.022592923273097157,0.3511980459357576,0.27326704377781225,0.01688720161321653,0.11928885713000273,0.030823672636851256,0.3153123687193591,0.1246089687504373,0.07885441300278224
7,LDCOF,0.0029068102076119226,0.3952268411379971,0.223325207538893,0.015068884475139158,0.05007602620300818,0.45242285565271,0.1832519467373265,0.059752904135865335,0.03931318831869099
8,HBOS,0.0028661739543748084,0.45996698169877875,0.1669811419948575,0.016228594613263477,0.037794817868106526,0.9120227424181169,0.21287125819724528,0.19439182321585624,0.0665776960520914
9,OCSVM,0.0038548585910257523,0.399091903694907,0.21075891829629964,0.01934646203517743,0.04179561546837003,0.326430713166243,0.23048219954065016,0.12058780694249857,0.034956124151123896
10,Nu-OCSVM,0.0038716363613043527,0.3935151202971108,0.2119016278682669,0.018618284014737266,0.0414385214582784,0.3227075356279033,0.22976839678215752,0.11976737152051144,0.034956124151123896
11,RED1,0.0030698700008212837,0.4476385970369173,0.21905922894550106,0.01581506373567837,0.03985403381657799,0.017468267755363625,0.20992976782231534,0.17750517858983025,0.031912173472233206
12,RED2,0.0027293326045149885,0.46105768373929273,0.19076462362180002,0.015712419736638672,0.03574461096290684,0.029815459665606812,0.21423051486321215,0.19216596094315622,0.03533113401344043
