,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012992782552654038,0.6040019102072018,0.5242971470885005,0.017533280305416808,0.03615859489731226,0.3655450011021074,0.1557499531374874,0.6302118580031579,0.08295877001935925
1,KNN,0.05625977900805348,0.7713922033897045,0.50790462964376,0.01735531528045002,0.08844099256780108,0.21733811418892598,0.34744263849790163,0.5361602887858659,0.0605707973091109
2,KthNN,0.0435800939658737,0.7932347113678864,0.4650020614306329,0.015947334428680963,0.07211723141798412,0.20882190767182043,0.2785465096969551,0.5103364253538458,0.05517887823145422
3,LOF,0.04875945036981741,0.40378624590248363,0.5954805791353682,0.019304471424675156,0.0947253916477547,0.022328933359242506,0.4918968838035113,0.46414262753823327,0.07453847404410177
4,CBLOF,0.012647075947501396,0.0859010369863453,0.01572247715104482,0.015080114983080074,0.03909252505794015,0.01207538960626536,0.1078155467987108,0.02684304824356112,0.08029763256261191
5,uCBLOF,0.018925392894751803,0.8125310366327858,0.48164734705706813,0.015463464037846542,0.04723920221467797,0.8351686493296478,0.2792104068379721,0.5880313669979762,0.045814798208107604
6,LOoP,0.04595049627375838,0.3813139689560394,0.5856762804695135,0.020428957764706254,0.11464867828767208,0.027300003562495897,0.4938452607067464,0.24435378002105163,0.07229389225734324
7,LDCOF,0.008442093527350356,0.6949298042432823,0.3554839968774395,0.014612034686945767,0.05365214845652385,0.6373315650360641,0.2606990002575177,0.24704493919888515,0.043904498385942944
8,HBOS,0.012415900536808081,0.5347739924166782,0.4926890266031971,0.016322484175210747,0.03908403149236007,0.7983745122494735,0.1483329832923806,0.5833238983051673,0.14268641554783215
9,OCSVM,0.008497324281292865,0.7005042178532175,0.5037564148466405,0.015888281418050206,0.05091894371373508,0.8907103136297131,0.20306494793101204,0.5741497967424942,0.03328840476250167
10,Nu-OCSVM,0.009477621554738646,0.6892516411244284,0.505315523338522,0.01719192561248792,0.05034025242892688,0.8913158407082626,0.2175281854419287,0.5638521714637811,0.03328840476250167
