,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9061806463381268,0.924074600018934,0.9604130808950087,0.4466186159130582,0.5690746797086467,0.9879471780395825,0.7722312925170068,0.9525626448594045,0.6496975078072378
1,KNN,0.980299759827319,0.9703051532077378,0.9523809523809523,0.45182255006850985,0.681996282647355,0.9540969530476275,0.8731020408163266,0.9679177417238816,0.6595162574245301
2,KthNN,0.9778372298057337,0.975480450629556,0.9575444635685599,0.45164423672504084,0.6515683808983067,0.952069286464277,0.8443401360544217,0.9681418638212271,0.6303324964790888
3,LOF,0.9789316875931049,0.8594780523209946,0.9558232931726908,0.48508737353829984,0.7720902079583842,0.5050130872677306,0.8924761904761904,0.9721323304325011,0.7640622129691998
4,CBLOF,0.5007752409327213,0.46476695383256017,0.1853126792885829,0.4750924413912194,0.5451071595640592,0.10417067641797417,0.7687482993197279,0.27955131849389947,0.6121609209478905
5,uCBLOF,0.9471620101541363,0.9657925463094448,0.9495123350545037,0.44952793888544773,0.5646377958080689,0.9851168732628126,0.8434693877551022,0.9624622818909345,0.5318302614659237
6,LOoP,0.9751618885477153,0.8738363469973808,0.9500860585197936,0.5150017831334347,0.7864906392168207,0.48597722130030846,0.9068299319727892,0.9617079197096252,0.7768495499357051
7,LDCOF,0.9687775514547169,0.8416327432232006,0.5605278255880665,0.4405700396043321,0.5784387688010199,0.5015319988982898,0.7511292517006802,0.9284941181615428,0.5317751515522625
8,HBOS,0.9257288784847841,0.8905613935435008,0.9518072289156627,0.450776132289731,0.5473158441890029,0.9964239260682117,0.7902585034013605,0.952103467879477,0.7560725001530831
9,OCSVM,0.8340376371872436,0.951371138249866,0.9592656339644292,0.5226270247949396,0.5413793172712275,0.9838899594298521,0.7201360544217686,0.9344415533301265,0.48160186149041695
10,Nu-OCSVM,0.823305870549965,0.9514026949414623,0.9604130808950085,0.44325881712558896,0.5379221692680993,0.9831545856904557,0.7185986394557823,0.9323916560983075,0.48160186149041695
