,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6814519806645791,0.9231278992710404,0.966150315547906,0.5013514274452391,0.5571760852545011,0.9335592043124669,0.7547619047619047,0.9293195434468885,0.536651766578899
1,KNN,0.8986410482473475,0.9171636845593107,0.9139414802065404,0.5024494622444958,0.6830647481323964,0.9600910312277775,0.8466122448979593,0.8555724406349761,0.7084612087441063
2,KthNN,0.8698203265132399,0.9141973555492442,0.9093516924842227,0.5012669632299115,0.6512715322340182,0.9626422394782724,0.8307346938775511,0.8537849302488301,0.6871538791255893
3,LOF,0.9678047000881647,0.874751491053678,0.91508892713712,0.508502731009629,0.7769283487865932,0.5621416798329192,0.869265306122449,0.8635971049984694,0.7797464943971588
4,CBLOF,0.6134435898215426,0.25043390450945124,0.34825014343086635,0.5136550481446027,0.4851957033509738,0.04214597048975911,0.4246530612244898,0.21871583504613637,0.6084048741656971
5,uCBLOF,0.832730368163439,0.8496323645429013,0.9323006310958118,0.5099949321470804,0.5556245659071268,0.7130996250261478,0.8442993197278911,0.8435135785192636,0.6454926213948933
6,LOoP,0.9753746997841486,0.8644324529016377,0.9242685025817556,0.5090235936708147,0.7937418314657297,0.5204889310480745,0.8779863945578231,0.8637911619364149,0.7682438307513317
7,LDCOF,0.8179855896391329,0.5138849443024393,0.6388410786001146,0.4996058336618053,0.5004734848484849,0.9935189169811407,0.7815510204081634,0.8074189880613984,0.5104714959279897
8,HBOS,0.771471133675858,0.8788854176528133,0.9621342512908777,0.4668900275916436,0.5438874311254187,0.9941083981963954,0.7493333333333334,0.9352396466523811,0.7005486498071153
9,OCSVM,0.9222022922810325,0.5211272050238254,0.5352839931153184,0.5454792874974191,0.5977977765517537,0.9923635990253789,0.5387482993197279,0.5387348580924476,0.6916122711407753
10,Nu-OCSVM,0.61809503541787,0.46533497428129633,0.26965002868617327,0.5005912495072921,0.6242697419635906,0.994301630627952,0.5213401360544218,0.24761665281847203,0.6916122711407753
