,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.745447359620588,0.8874688377670484,0.9036144578313253,0.4955421664132741,0.5536093818071119,0.9796259535819214,0.8067755102040816,0.843529977697118,0.5372732839385219
1,KNN,0.8752014106344815,0.9081700274543216,0.9059093516924842,0.5029844022749028,0.6830107655032531,0.9601092232051155,0.8442857142857143,0.8508877421611929,0.7112938583062886
2,KthNN,0.8455294439546408,0.9062450692669382,0.9018932874354562,0.501933292039717,0.651210435614988,0.9626664954480564,0.8297278911564627,0.8510244019766475,0.6910305553854632
3,LOF,0.96093393731189,0.8684085960427909,0.9093516924842225,0.5097227696754697,0.7770137864102371,0.5622500673281514,0.8654965986394558,0.8481162811037741,0.7878096870981568
4,CBLOF,0.44480588575076757,0.2587964277825113,0.4193918531267929,0.5739155733243237,0.4841876649329734,0.0421723157342514,0.48080272108843536,0.30354331569510645,0.5855758985977588
5,uCBLOF,0.8185328185328185,0.889520022720818,0.9305794606999426,0.512322390524992,0.5664071427359858,0.7131479331340369,0.8244897959183674,0.850712817597411,0.6429036801175678
6,LOoP,0.9719393183960113,0.8529458171605289,0.9156626506024097,0.510853651669576,0.7930954627139888,0.5207946785663601,0.875061224489796,0.8432129269252636,0.771836384789664
7,LDCOF,0.8036664335876935,0.7810281170122124,0.6382673551348249,0.5456857555793307,0.542873868903506,0.9937468007981028,0.8084081632653062,0.7548705558228014,0.5738240156757088
8,HBOS,0.7011218192320554,0.9119252737542997,0.8548479632816982,0.5051429322221597,0.5389717338584408,0.98548471300627,0.8071836734693878,0.8512867888223203,0.6050339844467577
9,OCSVM,0.8933511689417202,0.5309413361103222,0.3339070567986231,0.5454792874974191,0.5975678133414036,0.9923673699114377,0.43136054421768705,0.5841305155901517,0.6933629293980773
10,Nu-OCSVM,0.5634329492597209,0.4906749976332481,0.26850258175559377,0.5005912495072921,0.6240156469836237,0.9943049428927333,0.5248503401360545,0.2661422574014956,0.6933629293980773
11,RED1,0.7137080837868239,0.9023951528921708,0.8881239242685026,0.4864388009835388,0.5054244033399038,0.4884151500952786,0.7935102040816325,0.8339856561857698,0.45843977711101586
12,RED2,0.6887483659137202,0.9065290794913061,0.8542742398164084,0.48480582615387496,0.5055777586434698,0.522022203894357,0.801156462585034,0.8507620151309747,0.48650909313575413
