,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.010606643856329343,0.6258031659853494,0.5314404549698667,0.017865324513242926,0.03736268860601352,0.3781932005650428,0.1529796302721474,0.605430784709743,0.10972462879771312
1,KNN,0.021845586855583493,0.6241343759828798,0.3754441559063407,0.01758610294145638,0.049113172938522555,0.34187139717936316,0.24242530671866455,0.4363149056730896,0.0883579132240429
2,KthNN,0.016314075474387124,0.61151485336707,0.37963903926200443,0.016088130216189756,0.04556734298419075,0.2791195344868825,0.2226157306343187,0.43601834969657016,0.084733424620283
3,LOF,0.015931043618677684,0.30245780866975935,0.3645441820262366,0.019436224485732432,0.05770702954902978,0.024724867302219955,0.19063214719168625,0.05113417449960031,0.05668692087939102
4,CBLOF,0.0009184797629780988,0.09781160575737323,0.014482749464948735,0.0210626279922018,0.027408404674900903,0.01718022549942455,0.050923201206070336,0.007961275919002617,0.05025062678961156
5,uCBLOF,0.009334488827677281,0.5856742526430889,0.3807954582799303,0.016276493032429985,0.03999240956645441,0.28314249942113046,0.241135451016944,0.4023137482452985,0.12917458757597264
6,LOoP,0.014221389281789155,0.29683342855313255,0.18359844671307468,0.02136956296380236,0.06874634503654523,0.02050048901712337,0.1985465468187412,0.03430947578676076,0.057450249817980165
7,LDCOF,0.013548069092166656,0.44652205208742307,0.5494791666666666,0.014991243672327403,0.037487606794885046,0.294191044801305,0.1343297941991333,0.29128483796760896,0.0746868539560473
8,HBOS,0.009514897361962784,0.5019861568380032,0.5853078993835297,0.016344119914074362,0.036477133574356245,0.8264129837049577,0.1368093909536869,0.5706316864486248,0.19642789432835828
9,OCSVM,0.02932332869127793,0.12355023125972012,0.018573119620628884,0.018101135061690865,0.05624147428331181,0.25063076790302175,0.057456352894107346,0.021562964418431307,0.08113623212914499
10,Nu-OCSVM,0.0022460951470483345,0.10721988084116195,0.03051785031395053,0.020224264812051404,0.05572868677486703,0.2628551745415343,0.05413907095803554,0.0206686800725821,0.08113623212914499
