,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9329644605235157,0.9070024298652529,0.9110728628800917,0.0,0.5754479637584899,0.7864565569721008,0.8119047619047619,0.9478834127782394,0.6812675280142062
1,KNN,0.9582585960538718,0.9117674902963173,0.889271371199082,0.0,0.6175178123147573,0.9198665310166845,0.8500544217687075,0.9509828573927495,0.8058049109056395
2,KthNN,0.9503845803058402,0.9098740888005302,0.8858290304073435,0.0,0.6046956406362708,0.8953211457276753,0.8375714285714286,0.9505564787685311,0.7966474802522809
3,LOF,0.8608214513726324,0.734955347281391,0.8709122203098107,0.0,0.6519973126414986,0.6444241971643447,0.6875238095238095,0.7153321380154808,0.7557810299430531
4,CBLOF,0.36259994527711065,0.28158035911515034,0.10327022375215146,0.0,0.4680961545843778,0.3658403075616202,0.3809251700680272,0.1468054401539336,0.5217622925724084
5,uCBLOF,0.9304715288967257,0.9117359336047208,0.8588640275387263,0.0,0.5725475761325248,0.8462833968651198,0.8339591836734694,0.9491734814361306,0.7554956830567632
6,LOoP,0.8667497643875597,0.7284546688125217,0.8399311531841651,0.0,0.676501646093566,0.6045624154257777,0.7196870748299321,0.6446188831066602,0.7109313575408732
7,LDCOF,0.8238530994436506,0.8126479219918583,0.7934595524956971,0.0,0.5662510255304637,0.8634247238144448,0.7106394557823129,0.8723597323654174,0.7122258281795358
8,HBOS,0.9311403642112304,0.887153270851084,0.9099254159495125,0.0,0.5710465242663496,0.7838820099943767,0.7599727891156463,0.916785105173394,0.8335166248239543
9,OCSVM,0.9696591980056547,0.6390861182113667,0.529546758462421,0.0,0.5840310623022589,0.8595584445298838,0.5344625850340137,0.5524965015087244,0.6265262384422265
10,Nu-OCSVM,0.9696287964004499,0.6112846729148915,0.6907630522088354,0.0,0.5805037089832451,0.880440694281273,0.4824421768707483,0.49237438229763414,0.6265262384422265
11,RED1,0.9446386769221415,0.9108839029316166,0.9070567986230637,0.0,0.5797390945603811,0.6818296542989247,0.8117142857142857,0.9483863208991122,0.6605572224603515
12,RED2,0.9463715684188125,0.9068446464072708,0.9047619047619048,0.0,0.576132245891629,0.8859824699660391,0.8212925170068027,0.9495615953120218,0.7551405302798359
