,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011644907024888277,0.6595147198933389,0.5584482931103476,0.017865324513242926,0.034385343506988755,0.464907863048332,0.14320366623847763,0.6251586056624774,0.15717799010427458
1,KNN,0.06019991565836119,0.7734007132060765,0.491713760096113,0.01758610294145638,0.06125383075932894,0.4023657778139097,0.2836133726491252,0.5674403776645547,0.08597007308053416
2,KthNN,0.03647882745448456,0.7933805752928019,0.5086100337570925,0.016088130216189756,0.050254455041265036,0.43086085531267215,0.23496756559642856,0.5000523704035519,0.07978848427976962
3,LOF,0.02791939403554168,0.3418111739221747,0.6759284592958061,0.019436224485732432,0.07776231194718912,0.017170166760414836,0.4434363441589502,0.1464451680653494,0.07327937234794926
4,CBLOF,0.0010550991708958555,0.09153385662840283,0.014468960399798227,0.0210626279922018,0.027943949738488908,0.032236562497958435,0.08906312380811826,0.011447105662356792,0.052686147876434844
5,uCBLOF,0.013454865705752958,0.7975351649628925,0.4279443655303913,0.016276493032429985,0.03709412844017547,0.630064753971755,0.2434803452280649,0.6304520150933638,0.09216475840699483
6,LOoP,0.033212658153345065,0.31994701747411547,0.6893212835331062,0.02136956296380236,0.09211568837372996,0.01752937339429464,0.40779025902155297,0.05890506181949889,0.06967898222345063
7,LDCOF,0.009758111917701094,0.5707760422476698,0.3976593069311278,0.013928408800151972,0.037048971409148174,0.2947205671281045,0.20654867522928802,0.5915836771095445,0.05647261519561991
8,HBOS,0.006229002895574922,0.3967219707878487,0.4830731838536676,0.016344119914074362,0.0323033542966777,0.9225599552180839,0.11072544517009567,0.5717644523300767,0.20663750215775478
9,OCSVM,0.013441136700083385,0.7208789744783388,0.4841354120030462,0.018101135061690865,0.03732686525973042,0.5830184197259477,0.22131364536934023,0.5614834998985772,0.055860282135655026
10,Nu-OCSVM,0.015245892776872844,0.7089737644649949,0.4877272703953376,0.020224264812051404,0.03739725200732391,0.6110755121750385,0.23961032326124518,0.5206696250871041,0.055860282135655026
