,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9408688778767519,0.9018271324434346,0.8909925415949513,0.0,0.5656144629255673,0.8308233755188471,0.8230612244897959,0.9443138583985656,0.6907452084991733
1,KNN,0.9524214878545587,0.9085171510618827,0.8841078600114745,0.0,0.6489022527746234,0.9592464546664333,0.8692244897959184,0.9473914374426029,0.8498499785683669
2,KthNN,0.9482260663363025,0.9076966770803749,0.8864027538726333,0.0,0.6233271522525514,0.948062337842345,0.8583537414965986,0.9474952989023484,0.8428210152470761
3,LOF,0.9065454656005837,0.8848496323645428,0.8743545611015491,0.0,0.7207015069160256,0.6112228958009909,0.8541632653061224,0.9356660252765994,0.7201763517237156
4,CBLOF,0.48870580366643357,0.347660071318123,0.13654618473895583,0.0,0.4713363677429492,0.4704190550006663,0.4011428571428571,0.0992970219093016,0.4322282775090319
5,uCBLOF,0.9186757060772809,0.9116097068383351,0.8485370051635112,0.0,0.5812051902331112,0.8810767000772267,0.8477414965986394,0.9449534263348931,0.8336329679750168
6,LOoP,0.9340893199160916,0.8825775505695982,0.8795180722891566,0.0,0.740473976969197,0.5899374415098628,0.854843537414966,0.9223662920365593,0.6532490355765109
7,LDCOF,0.8791536193110996,0.8578055476663826,0.8416523235800344,0.0,0.5609583844424685,0.8919727772601302,0.7633605442176871,0.8768913718458915,0.6901536954258772
8,HBOS,0.9434834159243608,0.9016377922938559,0.919104991394148,0.0,0.5633579471803826,0.8110813092210648,0.7627619047619048,0.9454945992040932,0.8596521952115609
9,OCSVM,0.962423615966923,0.4882766890719177,0.4629948364888124,0.0,0.5919788536511116,0.9100026064975933,0.4755578231292517,0.47591234092797485,0.7450168391402854
10,Nu-OCSVM,0.3774967318274405,0.4851210199122724,0.4366035570854848,0.0,0.5913825199615766,0.9275737634997084,0.4657959183673469,0.14623146892902436,0.7450168391402854
11,RED1,0.9395920104581521,0.9104421092492663,0.9122203098106713,0.0,0.5724802303615938,0.6505211593843978,0.8088435374149661,0.9457843180128569,0.7194097115914518
12,RED2,0.9494725321496975,0.9069077597904636,0.9030407343660355,0.0,0.5682221307911783,0.8726230359862281,0.8253333333333334,0.9482059299427121,0.8168538362623232
