,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.009519380312166294,0.4930932495036873,0.13473571173694554,0.013177544243240046,0.042414091181580876,0.027427888375441557,0.2374785233465783,0.2841384767571307,0.05531087614549371
1,KNN,0.010221285844570358,0.47774553949953436,0.11338670835828284,0.01409541586886865,0.06946710732681752,0.10457389697246317,0.2825097502713131,0.23906443851472559,0.056227969393925534
2,KthNN,0.009277626134597669,0.46929548505901963,0.11185389421262451,0.014022434774728575,0.06347409266902647,0.08340337485977116,0.2605971955278285,0.23854769125488093,0.05265978215925284
3,LOF,0.01008158688248172,0.36266888046526374,0.11260324159116648,0.015193834252702175,0.06243265944337874,0.038517143933346765,0.2950624507545713,0.21911877995716042,0.07874345592128751
4,CBLOF,0.0010621518544035686,0.06945134258377755,0.016986689157516652,0.018691114266456046,0.032973153691327244,0.030054824623119612,0.045651734040795894,0.008191237455350516,0.07944479790321055
5,uCBLOF,0.007499557439290585,0.41490761710240287,0.2197073983662075,0.01385696067568683,0.056383783959298925,0.021268266620348024,0.21683941543204704,0.21753507150228044,0.040853857741783586
6,LOoP,0.013618585703264522,0.3457441931102068,0.13154440796531658,0.015452629971053147,0.0706017833807929,0.03891152956977941,0.2785564676587039,0.22496800507135914,0.08654057452276842
7,LDCOF,0.0045101889513890926,0.3605747769595994,0.1290966907596372,0.05470206412432081,0.04762553442848849,0.012698797459222257,0.11992474579683882,0.007282913165266107,0.035191343088106064
8,HBOS,0.008646864315221816,0.5383605696912466,0.24734259420560264,0.016428279537461454,0.06213236765291916,0.01481785858109518,0.20891538621901842,0.280760573197689,0.0836726888299418
9,OCSVM,0.005244416414519523,0.44144879774983775,0.10578306509587068,0.014049098190705373,0.05707997910693441,0.019955290437334898,0.20600231390685234,0.19734184446349526,0.030808912170916053
10,Nu-OCSVM,0.005107591933068438,0.4347492639506044,0.10904421142464049,0.013722479543836014,0.0565006269310665,0.019335522186635097,0.21273124680812666,0.1966930501213258,0.030808912170916053
11,RED1,0.006996179246482288,0.5159670125994007,0.13302686948494916,0.015522272633442273,0.059516881944078934,0.019661279433558707,0.21023439886722217,0.24467844759588314,0.03400327976427461
12,RED2,0.010640584259224083,0.5195028571498848,0.27502101728931905,0.015244544835913558,0.0488216058532656,0.02687350489739796,0.25403908912639644,0.26763993176513107,0.0595477915818709
