,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9342413279421155,0.8727318627915049,0.8548479632816983,0.43014809392420744,0.5709905469302381,0.6033010540390902,0.830544217687075,0.9355730966020903,0.6199259077827444
1,KNN,0.9362478338856292,0.8915712076745874,0.816982214572576,0.4550978846406517,0.65282635749434,0.8756058068587832,0.8634421768707482,0.9341627673065991,0.7649721388769823
2,KthNN,0.9322652236038064,0.8903247183565275,0.8164084911072862,0.44970625222891675,0.6264472226760297,0.8363818144433598,0.8513333333333334,0.9330886211571259,0.7569616067601495
3,LOF,0.9150275134527102,0.8557228060210167,0.8009179575444636,0.4498094862698725,0.7217600128152251,0.7243807147714525,0.8669795918367347,0.9200102768181222,0.7446720960137162
4,CBLOF,0.3431733195512723,0.25532519170690143,0.34308663224325875,0.5273945605045329,0.4809718067280155,0.5100239069080339,0.4769387755102041,0.2541271264267285,0.5782756720347805
5,uCBLOF,0.930684340133159,0.8569535169932784,0.7303499713138267,0.447078476640952,0.5815107012262622,0.6253837195051883,0.8489387755102041,0.9287018410810338,0.7119074153450493
6,LOoP,0.9023196424771227,0.8465713654580453,0.7641996557659207,0.4535869136775719,0.7392834577360929,0.7344875047359017,0.8662857142857143,0.905548935146718,0.7116918743493967
7,LDCOF,0.8826498039096463,0.514910536779324,0.5645438898450946,0.4611276911237495,0.5776515988455138,0.5250342755707479,0.7868027210884353,0.8816744653868019,0.6401212418100545
8,HBOS,0.9288906454260785,0.8951055571333901,0.8858290304073437,0.4554873585224393,0.5691216599399009,0.6251697981582279,0.7893469387755102,0.9451720820396203,0.8317873981997427
9,OCSVM,0.8806128963609279,0.844173056896715,0.7372346528973035,0.4952512341160351,0.571192793478028,0.5623364919599868,0.8144761904761905,0.9235579656273233,0.4021272426673198
10,Nu-OCSVM,0.8764174748426717,0.8324339676228343,0.7624784853700517,0.4340991422189688,0.5700482222501946,0.5500698505684483,0.8083265306122449,0.9169600297371758,0.4021272426673198
11,RED1,0.9099808469887212,0.8963678247972482,0.8737808376362592,0.4590067008277493,0.5732348154536171,0.5021365891367398,0.8113197278911565,0.9406240433812918,0.6197709876921192
12,RED2,0.9300155048186544,0.8999337309476474,0.8892713711990821,0.4582934474538731,0.5725083515451475,0.5922657088616077,0.8272380952380952,0.943433769187038,0.7285420366174759
