,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003541005102115791,0.5802558373286579,0.4564119587228831,0.018541357105806254,0.03402466366590456,0.9157644478594898,0.14704870983411655,0.5737640053600617,0.07453462394077184
1,KNN,0.006091975295241109,0.5106414927060641,0.14204643418075905,0.015260206781751965,0.0696709721905944,0.14621509670245908,0.2674986161661159,0.24237614431682075,0.045094564877484575
2,KthNN,0.004791273706319578,0.503095261348192,0.14972673529151972,0.01528382956194499,0.059920764021344976,0.1560220095440868,0.23008673571127944,0.24642129920885691,0.04696457510730609
3,LOF,0.016732220489766737,0.22154086387518324,0.24067971668506982,0.01686528273397641,0.06759552629384914,0.023611295784931794,0.2092421085016663,0.11026150282886488,0.037547974702735375
4,CBLOF,0.0012655138118888552,0.07107552194694325,0.15842878020939918,0.01939689722011646,0.03633005070156614,0.013583893593291922,0.061971273662404194,0.01042337997302717,0.033535521769670305
5,uCBLOF,0.004038257465606819,0.5409723991739235,0.15000038541723165,0.01556981350798917,0.040916145964712096,0.3537484313513389,0.207545376618963,0.21131096724900303,0.05265194296153842
6,LOoP,0.023021761433772905,0.24342312075881514,0.23622894902454572,0.016906598542678307,0.08386707174063647,0.024725245191550206,0.21097942432528505,0.0935024213586096,0.0361859528439281
7,LDCOF,0.005744325591590202,0.5444956822798132,0.14760282927103413,0.01513590421741829,0.039525233624080267,0.27342954667088426,0.5379464285714286,0.12143310010017837,0.03968283236245358
8,HBOS,0.0034944212800087342,0.45460011865402505,0.4070758547507485,0.015680943118758582,0.034163633898707205,0.9434603167368791,0.12502089548919235,0.5969836471492593,0.14143192107995664
9,OCSVM,0.010524435660040138,0.1413018955463164,0.02590127819555178,0.01938289956430025,0.04672296229033097,0.5975425441168815,0.051926238826046286,0.020668047799548818,0.04871399837710099
10,Nu-OCSVM,0.003084642658103799,0.10488321292673736,0.0423014635779644,0.011340027175691415,0.048299061918185816,0.5843571460594583,0.05753494357462536,0.009329252337371243,0.04871399837710099
