,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.006135767404056647,0.6382042743994071,0.4783264668463599,0.017865324513242926,0.03736532510231282,0.7138311771296855,0.15508826720688226,0.6238936828280952,0.10972462879771312
1,KNN,0.027694127871840554,0.7193228867527253,0.4112420187363828,0.01758610294145638,0.06220798242392113,0.22630978794975845,0.2692139869196013,0.5246668711433494,0.06253633719248416
2,KthNN,0.025447004188674252,0.7481553583971524,0.41308517524463406,0.016088130216189756,0.054132013788870254,0.19671303411973043,0.23673907365188002,0.4384260936401526,0.058039786686307125
3,LOF,0.007956267793698383,0.2548183532496004,0.4794124853157836,0.019436224485732432,0.07461579502194665,0.022113063335180573,0.3643350502614127,0.2905631552291496,0.07825797512681826
4,CBLOF,0.0018600310127348525,0.14405207223036912,0.017394770526152948,0.0210626279922018,0.03232702820462559,0.010323063697013754,0.10379362431704808,0.009348229057690687,0.05276327091688773
5,uCBLOF,0.013056528398647042,0.6625303007146341,0.3560321472296262,0.016276493032429985,0.04510820808325173,0.798139047707435,0.2414347102368221,0.6054243282782434,0.057304907250956744
6,LOoP,0.009952302999174231,0.2559933674950182,0.4585045032709051,0.02136956296380236,0.08676867336202387,0.03285367915478599,0.3702074600412054,0.0931041674371246,0.08262340034715186
7,LDCOF,0.010219310122200323,0.5542581136615077,0.46012720156555764,0.01443144430265701,0.037647817943110416,0.7885397037054794,0.16576472876904536,0.10997700837228219,0.05343634549104834
8,HBOS,0.00797682303418855,0.5155368547831991,0.5096983956802353,0.016344119914074362,0.03662579764869747,0.7620848978379938,0.14248283725593397,0.5660892512214013,0.18824543938513702
9,OCSVM,0.009291618633121177,0.6718090298499264,0.36882799739942596,0.018101135061690865,0.04616845478380441,0.23386956854488136,0.2206352711356049,0.5807770713078139,0.04355970909147362
10,Nu-OCSVM,0.010020943870993726,0.6511857396620078,0.3639047938924786,0.020224264812051404,0.04590053148150837,0.32577095812185003,0.24072170168448745,0.5717907044540095,0.04355970909147362
