,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.010928396068513185,0.5185939202177103,0.2570155106061082,0.0,0.03963995030265675,0.027996411747975927,0.19364929990399604,0.2314141614370629,0.06825527255898553
1,KNN,0.019945347056048335,0.5349513026219156,0.24966940234799925,0.0,0.048787930855703134,0.134749330287458,0.2467649128234346,0.25220272128502214,0.10252672775517044
2,KthNN,0.015648142889724756,0.5406332998788639,0.2502217515829251,0.0,0.04545814463877976,0.10596924530649228,0.22757128125753406,0.25254626607961134,0.09957212340675081
3,LOF,0.005319940061446703,0.2539823997044554,0.24347450911483998,0.0,0.0576048125584083,0.031961543663559945,0.1826489111977283,0.1551990043961608,0.08562019245368732
4,CBLOF,0.0011815286837716218,0.07995171383235217,0.15864955714035975,0.0,0.02861046040144238,0.016991008917585725,0.06078276900264528,0.008673049068486687,0.05999281802199437
5,uCBLOF,0.0115249574330231,0.505341154471782,0.24005760568422932,0.0,0.03965074279225761,0.043202938575563385,0.19332764992102253,0.23568904377362027,0.13644023289995025
6,LOoP,0.005767673157092252,0.25174697303133586,0.12211174309260733,0.0,0.06531765292151982,0.03535124952480668,0.200152157375136,0.10011639689668349,0.07364984577534975
7,LDCOF,0.01126799185765065,0.4342949649462494,0.44066210612385887,0.0,0.038112594038392344,0.02814018420499764,0.22813094248294918,0.07876474927201532,0.07953507410416948
8,HBOS,0.008217994394857476,0.4957115432181787,0.2841107239624774,0.0,0.038046554478520254,0.04927608473762354,0.15521465863152142,0.16399562608904852,0.15690717377604077
9,OCSVM,0.037354511782710445,0.5403926884398416,0.029250520429991343,0.0,0.05593776542237848,0.029740291313091596,0.06868621093329869,0.22162135766223345,0.07925783355413214
10,Nu-OCSVM,0.03735487726768535,0.13005177916238086,0.018882062386913496,0.0,0.055410557866261693,0.030758273143702584,0.06058740584395554,0.2215126061203391,0.07925783355413214
11,RED1,0.009952979124557016,0.5230593404047353,0.24580405329929395,0.0,0.04303615584462235,0.019426026108164997,0.19244141463586723,0.2370815505643643,0.05673993984411118
12,RED2,0.010204373870245115,0.5423663931456139,0.26693924610455066,0.0,0.03837447687303261,0.0290084394801113,0.19899824946063494,0.22619041307946075,0.13248732532407037
