,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9177636579211383,0.8810628293729685,0.8864027538726333,0.0,0.5572784709128761,0.6653248936826702,0.8058231292517006,0.9266902085975423,0.8272708346090258
1,KNN,0.9508710059891162,0.903594307172836,0.8686173264486517,0.0,0.6529162448489133,0.8085229159038904,0.8522857142857143,0.9217485896707044,0.8759426856897924
2,KthNN,0.9433010062931322,0.9014484521442772,0.8720596672403902,0.0,0.6231578392932389,0.7649662518437212,0.8369115646258503,0.9192504482441947,0.8716202314616374
3,LOF,0.7700118566260299,0.7531951150241409,0.8646012621916236,0.0,0.7016413704345481,0.745142500000637,0.7763945578231293,0.8478265622950102,0.6269242544853347
4,CBLOF,0.4149515094396984,0.5273438732683267,0.26792885829030405,0.0,0.47973648330762253,0.474141989657071,0.5765850340136054,0.3956410985262605,0.260292694874778
5,uCBLOF,0.9338765086796582,0.8833033544763166,0.8278829604130808,0.0,0.5720461095904841,0.690966613135372,0.8196054421768708,0.8996752962784799,0.8515755311983344
6,LOoP,0.7907153497704679,0.753274006753132,0.78714859437751,0.0,0.7318121921176769,0.7712909195280175,0.7707755102040816,0.7862257838807015,0.5913036556242728
7,LDCOF,0.8766910892895146,0.6629745337498818,0.8278829604130808,0.0,0.5500996460748184,0.6867059195522226,0.716312925170068,0.8624710281191235,0.7680080827873369
8,HBOS,0.8670233788344024,0.8687557196503518,0.8812392426850258,0.0,0.5382857638963284,0.689941314311761,0.7005850340136055,0.7148674946429352,0.8954454718020942
9,OCSVM,0.9154835375307816,0.856921960301682,0.853126792885829,0.0,0.5663413034570308,0.6323185827991032,0.8302857142857143,0.9248097695368872,0.6227469230298206
10,Nu-OCSVM,0.9101936582251542,0.8429107892328568,0.8634538152610443,0.0,0.5649260379394939,0.6123034839674919,0.8228843537414966,0.9180861066165217,0.6227469230298206
11,RED1,0.9251208463806889,0.8980087727602638,0.8921399885255307,0.0,0.5642801434537456,0.5717112714077406,0.7988707482993198,0.9350537893033628,0.759998775335252
12,RED2,0.9258200833003982,0.8989239168165609,0.8990246701090074,0.0,0.5588042683046587,0.5898260984552871,0.7995510204081633,0.9336543927931081,0.833826465005205
