,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.963670081780318,0.8611190002840101,0.9173838209982788,0.4926328434408845,0.5960134344490748,0.7484431973342894,0.8324625850340136,0.8951272576201512,0.6129061294470638
1,KNN,0.9482564679415073,0.8584051248067154,0.9047619047619048,0.4643795634138559,0.622782192729201,0.8844069020463935,0.8501360544217688,0.8985492193991341,0.6950156144755374
2,KthNN,0.9535767488523395,0.8564170532361387,0.9104991394148021,0.46081798900088217,0.6108578205234646,0.8299598171324093,0.8446938775510204,0.8987514759260069,0.6761649623415591
3,LOF,0.8018423372754081,0.7178831771277099,0.9139414802065403,0.4816149557970606,0.6461818072458023,0.6982170078681575,0.695047619047619,0.8310720689202783,0.6898340579266427
4,CBLOF,0.5773264828382939,0.4053457035564391,0.24670109007458407,0.5913245865945905,0.4609886928291874,0.6921712583574173,0.434625850340136,0.19650588183845716,0.5748980466597269
5,uCBLOF,0.9311707658164352,0.8391239862412825,0.880665519219736,0.4614655479850592,0.5884296561984445,0.6489934919092837,0.8187891156462586,0.8995933003892072,0.6108052170718266
6,LOoP,0.8470191226096738,0.7129603332386633,0.876649454962708,0.49535446815699086,0.6634210970921804,0.7129039211354851,0.6932380952380952,0.8024664363493244,0.6817090196558693
7,LDCOF,0.8138509713312863,0.5158730158730158,0.6399885255306941,0.5103327890083902,0.5854379026239296,0.7365097952587223,0.5726530612244898,0.8266989548257314,0.566749127426367
8,HBOS,0.9176724531055238,0.870649121146139,0.8812392426850258,0.4676314357039623,0.5832684007393638,0.7253012441121308,0.7630748299319728,0.8606780513403596,0.8297507807237768
9,OCSVM,0.9561608852947436,0.833317554987535,0.901893287435456,0.47467481277098933,0.5923504410562138,0.6336192836998099,0.8376598639455782,0.8966195828049154,0.5279162329312351
10,Nu-OCSVM,0.9552488371386009,0.8298147622203288,0.901893287435456,0.4254978696247912,0.5878611228654682,0.6325259815323404,0.8345442176870749,0.8957558927712423,0.5279162329312351
11,RED1,0.9517830541452589,0.8637697623781123,0.9087779690189328,0.46253542804587344,0.593600745702369,0.5906345458515541,0.8222448979591837,0.902539686010408,0.5610372910415774
12,RED2,0.9532423311950871,0.8639906592192874,0.9168100975329891,0.46274189612778494,0.5909646079282097,0.7486691192713425,0.8373469387755101,0.9015229369834259,0.6744939072928786
