,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.924117593408932,0.9079175739215501,0.9621342512908778,0.47135724609118385,0.5793768808831301,0.984177820718318,0.8068707482993198,0.9522674596580226,0.5555887575776132
1,KNN,0.9450642993950081,0.870586007762946,0.9150889271371199,0.4643514086754134,0.6238858933876831,0.964778497388534,0.8603401360544217,0.9119309485284471,0.7048913110036128
2,KthNN,0.9508710059891162,0.8687557196503519,0.9185312679288583,0.46105261182123625,0.6100128459128761,0.9533734270245644,0.8541360544217688,0.9125158525385926,0.6879897128161165
3,LOF,0.7624418569300458,0.7567925778661365,0.9196787148594378,0.4857630872609194,0.6528857802333969,0.5553838443520918,0.7239455782312926,0.8515327764901386,0.6723201273651337
4,CBLOF,0.4831423099139634,0.33740414654927575,0.18473895582329317,0.5655442310940931,0.43909211093672995,0.5766509792710826,0.47911564625850345,0.1781770673896882,0.4757871532667932
5,uCBLOF,0.9197093606542426,0.8443623970462937,0.8927137119908204,0.462272650487077,0.588981283343689,0.8525908662515125,0.8285850340136054,0.9101489045349194,0.6347817035086645
6,LOoP,0.8284437418295686,0.7557196503518571,0.9099254159495123,0.49045085121159226,0.6769256677888358,0.5663382173951482,0.7422857142857143,0.8243156076442034,0.6832943481721879
7,LDCOF,0.8982458273796856,0.7822903846760706,0.5639701663798049,0.44738817876381926,0.5816940468793521,0.7504350659790405,0.5071428571428571,0.8506636200638474,0.5416961606760149
8,HBOS,0.9149971118475055,0.8628546183218151,0.9604130808950087,0.4584248362332714,0.5648890591410808,0.9941132137198083,0.7407482993197279,0.9541588315039139,0.818693282713857
9,OCSVM,0.9333292797859727,0.4849632364542902,0.591508892713712,0.5454792874974191,0.5974650650090345,0.8414498853064621,0.5365714285714286,0.5713063585078935,0.6410287183883412
10,Nu-OCSVM,0.7676709330252637,0.46849064344094166,0.6540447504302925,0.5005912495072921,0.5926803627989774,0.8940361908241604,0.5215102040816326,0.5074971574758386,0.6410287183883412
