,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9408688778767519,0.850863075515163,0.9133677567412507,0.47848039491713124,0.5721417578819661,0.8016886435434915,0.8161360544217687,0.9028020728560808,0.636112301757394
1,KNN,0.9308363481591828,0.8607718766764492,0.8967297762478486,0.4684479231187942,0.6516148310675695,0.9624963979120501,0.8468979591836734,0.9004023264966984,0.7936966505419141
2,KthNN,0.9336028942328155,0.8597462841995646,0.9030407343660356,0.4608555286521388,0.6238826014237353,0.9354255381220018,0.8398639455782313,0.8999868806577164,0.7847731308554284
3,LOF,0.7069893290365732,0.7258985767932089,0.8875502008032129,0.4822343600427952,0.6919803210858884,0.68245648766933,0.7209523809523809,0.8446505881838456,0.725049292756108
4,CBLOF,0.48624327364484843,0.3439994950929344,0.1113023522662077,0.5171086960602136,0.4829325618308944,0.7865379367698844,0.5802448979591837,0.2913805921196484,0.5539991427346764
5,uCBLOF,0.9258200833003982,0.8435419230647859,0.8749282845668388,0.4728494472286352,0.579850491272613,0.8520564195895493,0.832530612244898,0.895684829667206,0.751848631437144
6,LOoP,0.7120055938953578,0.6885038972514121,0.8278829604130808,0.4894138183456276,0.7176871699108692,0.6616284061865972,0.7311020408163266,0.7958630340665588,0.68466352336048
7,LDCOF,0.7857598881220927,0.8037489349616587,0.8376362593230062,0.558026915929951,0.5595983290660553,0.8276395246950997,0.6869387755102041,0.8538614597454847,0.6439030065519564
8,HBOS,0.8942024138874533,0.8682508125848086,0.9059093516924842,0.4713384762655554,0.5385266352245053,0.9250928262204996,0.7216054421768708,0.6505936502383347,0.7940505786540935
9,OCSVM,0.951904660566078,0.8382719555681781,0.8932874354561101,0.4738395555305291,0.5847095974474892,0.79899235809557,0.8461904761904762,0.9032339178729174,0.6181495315657338
10,Nu-OCSVM,0.949654941780926,0.8311716999589763,0.8995983935742972,0.5216744561443024,0.5816451416861284,0.8040252679940694,0.8463537414965986,0.903523636681681,0.6181495315657338
11,RED1,0.9400480345362237,0.8644955662848306,0.9133677567412508,0.46261989226120087,0.5706122082092431,0.7028029148949235,0.8000680272108843,0.8949796650194605,0.7162415038883106
12,RED2,0.9417201228224851,0.866041844173057,0.9168100975329891,0.4624603487433601,0.5669289748177033,0.7362940903845718,0.8024625850340137,0.8939683823850963,0.7317433102688139
