,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9408688778767519,0.850863075515163,0.9133677567412507,0.47848039491713124,0.5721416741879675,0.8016886435434915,0.8161360544217687,0.9028020728560808,0.636112301757394
1,KNN,0.9297114887666069,0.860203856227713,0.9064830751577738,0.46850423259567925,0.646763229454574,0.9317413569635399,0.8537687074829932,0.9004679232081165,0.7988782070908089
2,KthNN,0.9333900829963823,0.8597620625453627,0.912794033275961,0.46084145128291765,0.6203129268393932,0.9132098979644094,0.8462448979591837,0.8991013250535707,0.7979511358765538
3,LOF,0.7041011765421215,0.7331566158603932,0.8961560527825588,0.48613848377348573,0.6915271878280804,0.7557330080179738,0.7274013605442177,0.8424968294922816,0.6886142918376095
4,CBLOF,0.44365062475298694,0.48515257660386885,0.11359724612736657,0.48232820917093683,0.45807801084138583,0.6209741778385536,0.4892789115646259,0.21137446975991606,0.4225975139305615
5,uCBLOF,0.8923479159699633,0.844173056896715,0.8663224325874929,0.46131538938003264,0.5820980936069391,0.8695691788156716,0.8372380952380952,0.9051198233261907,0.7609160492315229
6,LOoP,0.7201380232876295,0.6993436208147938,0.8473895582329317,0.49218236762580475,0.7142490343944393,0.7564515656438647,0.7341224489795919,0.7913040626229939,0.6392713244749249
7,LDCOF,0.7499467971908917,0.8083562119347407,0.8818129661503156,0.5137958218368152,0.5513036679397081,0.8438449584909525,0.7306938775510203,0.8598362268771591,0.6878464270405976
8,HBOS,0.8966953455142431,0.8696393070150525,0.9076305220883534,0.47052198885072355,0.5344375138374078,0.9174011359029883,0.7142721088435374,0.63769843005204,0.7856665237891126
9,OCSVM,0.5445535524275682,0.6426835810533623,0.544463568559954,0.5454792874974191,0.6148988736573251,0.8903662778832182,0.5285714285714285,0.5024079459483098,0.7775163798910049
10,Nu-OCSVM,0.49360046210439906,0.5061377765155101,0.3958691910499139,0.5005912495072921,0.6266435408989137,0.9161085882694359,0.5431768707482993,0.22461953907377444,0.7775163798910049
11,RED1,0.9400480345362237,0.8644955662848306,0.9133677567412508,0.46261989226120087,0.5706122082092431,0.7028029148949235,0.8000680272108843,0.8949796650194605,0.7162415038883106
12,RED2,0.9417201228224851,0.866041844173057,0.9168100975329891,0.4624603487433601,0.5669289748177033,0.7362940903845718,0.8024625850340137,0.8939683823850963,0.7317433102688139
