,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9419329340589182,0.9045725646123259,0.9661503155479059,0.4692268708823695,0.5755413802100073,0.9837311235941029,0.798952380952381,0.9464676170901299,0.537723348233421
1,KNN,0.9821846593500138,0.967338824197671,0.9667240390131956,0.4552668130713065,0.6838420979920583,0.9538425711124139,0.8784897959183673,0.9623365548607163,0.6604567999510135
2,KthNN,0.9796309245128143,0.9739341727413298,0.9695926563396443,0.45479287497419146,0.6537077668923503,0.951384462981237,0.8548707482993197,0.9617516508505707,0.6346078011144449
3,LOF,0.9831879123217705,0.8412382845782448,0.9644291451520367,0.48916042569964524,0.7726990539007206,0.5085335915880704,0.8897414965986395,0.9690438186032273,0.7726642581593288
4,CBLOF,0.6573131061320039,0.5068004670390356,0.18875502008032127,0.4941531993167783,0.5630819522707633,0.04783496360457979,0.7185442176870748,0.3941487733414965,0.6217708652256445
5,uCBLOF,0.9580761864226431,0.955978415222948,0.9546758462421113,0.4495373237982619,0.5663301721552075,0.639614788701712,0.8642721088435373,0.9639272751126077,0.5418320984630457
6,LOoP,0.9794789164867905,0.8611821136672031,0.9586919104991394,0.5205811138014528,0.7850641866014613,0.49153968590047864,0.9051156462585035,0.9553395723094417,0.7645410568856775
7,LDCOF,0.9623020095461041,0.8795954432137335,0.6325301204819277,0.45620061189631544,0.5717765312207629,0.5007190926840479,0.8218095238095239,0.49985787379192725,0.5084024248362011
8,HBOS,0.9472228133645456,0.8582473413487329,0.9598393574297189,0.45466148619479324,0.5498162023993172,0.9966359364931829,0.8020816326530612,0.9588872611186425,0.7558177698854938
9,OCSVM,0.8568084394856048,0.9442393259490676,0.970166379804934,0.4072770613960997,0.5427195929659546,0.9870951106640402,0.7244761904761905,0.926116237372633,0.48349764252036004
10,Nu-OCSVM,0.8551363511993433,0.9416516772381582,0.970166379804934,0.4915254237288136,0.5394764226194302,0.9874433570873676,0.7220408163265305,0.9225904141339047,0.48349764252036004
