,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9419329340589182,0.9045725646123259,0.9661503155479059,0.4692268708823695,0.5758664198028483,0.9821642185208088,0.798952380952381,0.9464676170901299,0.537723348233421
1,KNN,0.9611467485483235,0.8659471740982675,0.9059093516924842,0.4543846312667755,0.6296084147508553,0.9313270181183432,0.8581224489795919,0.9112203174880833,0.6552593227603943
2,KthNN,0.9579241783966194,0.8626021647890434,0.9093516924842225,0.45312236049327104,0.6154612415323992,0.9169266412335689,0.8518231292517006,0.9115647002230289,0.6356628497948686
3,LOF,0.939865624904995,0.8432579128404177,0.9139414802065404,0.47109446853238734,0.661496037479735,0.5550117496223381,0.8223673469387757,0.9178510517339398,0.7159733023084931
4,CBLOF,0.16809047517708933,0.35334027580548455,0.21916236374067696,0.5469339489836139,0.5055272353662716,0.6972716365416185,0.3123537414965986,0.19723291205667554,0.5418749617292267
5,uCBLOF,0.9536375520627488,0.8472656126731672,0.9082042455536432,0.45339452296488164,0.5932030876166805,0.8577884211886088,0.842,0.9070767918835002,0.5546494397158778
6,LOoP,0.9387711671176239,0.8541449714411941,0.9242685025817556,0.47876194230155594,0.6860853761364529,0.5429512839739635,0.8147074829931973,0.9217157913149954,0.6927046720960136
7,LDCOF,0.4996807831453501,0.5434535643283159,0.7016637980493402,0.4986204178163185,0.5004587547047187,0.5123332688715649,0.5133605442176871,0.5186841299689509,0.49842263180454344
8,HBOS,0.9298330951874259,0.8553125690302629,0.963855421686747,0.4546990258460499,0.5448791771116779,0.9975623514735884,0.7766258503401361,0.9584936808501334,0.770675402608536
9,OCSVM,0.9713312862919162,0.591877307583073,0.6706827309236948,0.5454792874974191,0.5966159196475121,0.8702872523413253,0.8659251700680273,0.4781070975641754,0.5516330904414917
10,Nu-OCSVM,0.9708296598060377,0.5976995171826185,0.6528973034997131,0.5005912495072921,0.5946634223525021,0.8874643517502897,0.49204081632653063,0.551471552892815,0.5516330904414917
