,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01012327756424609,0.5251843526814924,0.5191707838610338,0.014976199756333328,0.03797413392166192,0.5030238774262656,0.15635385750625708,0.6283919740213867,0.04654518852586495
1,KNN,0.024258653559499032,0.4258483984601378,0.42899052915863944,0.01455538009380766,0.06820367594859317,0.32416047299259576,0.3209315281994816,0.3125172343948432,0.080804438720122
2,KthNN,0.02167072824121139,0.42003321108335934,0.4308920784070653,0.014054921919024488,0.062145066951336474,0.27581115461869415,0.305610351504804,0.30633602598375,0.0774644058328279
3,LOF,0.058656125265447306,0.33982377290772514,0.5360857743040264,0.014444912035207544,0.06962038176149321,0.041419331180820224,0.3358250999607483,0.2694600338061162,0.08564916939635539
4,CBLOF,0.000991212954161318,0.10587586902088084,0.014816487219268197,0.017769967737412157,0.028441392239848217,0.07816558185218042,0.045265942068624984,0.009009765538769332,0.056982127165701696
5,uCBLOF,0.016669831368487084,0.4444501914580415,0.42759256897679443,0.01392133237433021,0.06274968592480953,0.13343470021237933,0.31577842256449484,0.31839474436378157,0.06933084948414989
6,LOoP,0.031003724654455767,0.33296267619583253,0.4384438966348944,0.014691444919899013,0.08122871768445841,0.03533814726824523,0.33126650894588006,0.2518568122562763,0.08074620840878767
7,LDCOF,0.011898378505053596,0.2546805765887038,0.4576424319727891,0.013866321082876078,0.5155449134199134,0.09978561754455435,0.18400430918108188,0.1430140322263481,0.1427649246023549
8,HBOS,0.01092003614319055,0.4418006088861821,0.5209965785624384,0.016205101992630415,0.03870972425424208,0.8983311765749625,0.14670954509621148,0.583764799577326,0.12656434625566743
9,OCSVM,0.0020800520624525893,0.10428735714817723,0.03290787170589357,0.34543133598236125,0.0849586113003152,0.19416574860069838,0.07528627704497697,0.012543823648896385,0.08456883497052757
10,Nu-OCSVM,0.0014822824185329484,0.10539898662825947,0.02381557243829182,0.5081521739130435,0.08400514076115811,0.2232624727501465,0.06695781620805602,0.008174329650916783,0.08456883497052757
