,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9537895600887728,0.8535453943008615,0.9047619047619049,0.43847251159036726,0.5835560570127982,0.7521940059727779,0.8311156462585034,0.9038734858092448,0.5252360541301819
1,KNN,0.9593530538412429,0.8578686610495755,0.9007458405048767,0.46176117273870526,0.6524321029645976,0.9510898242894492,0.8742312925170068,0.9011293567149168,0.771359990202682
2,KthNN,0.957711367160186,0.8557543627126131,0.9018932874354562,0.453826228954333,0.6290677236214371,0.9172065530865594,0.8683537414965986,0.9000716097432983,0.7585267283081256
3,LOF,0.9281914085063692,0.8284893811732779,0.9030407343660356,0.47089738536329,0.7050730475640806,0.7107594335211898,0.830952380952381,0.8981993702715704,0.772627518216888
4,CBLOF,0.2680509530903232,0.2329830540566127,0.05909351692484223,0.48559415883026447,0.4532897655853848,0.7220421284409655,0.4328299319727891,0.18246271920234397,0.5071471434694752
5,uCBLOF,0.944334660870094,0.8373252548202846,0.8651749856569133,0.45432362933348347,0.5926569563773488,0.840738156041813,0.8598095238095238,0.8991013250535707,0.7102283999755068
6,LOoP,0.9237831757516798,0.8208842184985327,0.891566265060241,0.48154926140736154,0.7259973562739699,0.7053885197412254,0.8390748299319727,0.8973575458083701,0.7301267528014207
7,LDCOF,0.8302982397470587,0.7960175455205276,0.7728055077452668,0.4866077294141937,0.5792364005063598,0.8013862592479071,0.7839727891156462,0.851368784711593,0.5976743616435001
8,HBOS,0.9417505244276899,0.8640853292940768,0.9087779690189328,0.4614561630722451,0.5835703686865712,0.6968056263658314,0.7797414965986394,0.8995331700704072,0.8090429244994182
9,OCSVM,0.9676526920621409,0.48805579223074247,0.47619047619047616,0.5454792874974191,0.6075822327014548,0.832086979054002,0.512639455782313,0.5193756286351511,0.7336476639519932
10,Nu-OCSVM,0.6291004165019912,0.5236517403515415,0.4268502581755593,0.5005912495072921,0.6096916143969747,0.877427756320247,0.45055102040816325,0.19358682818034723,0.7336476639519932
11,RED1,0.9388623719332381,0.8644008962100413,0.9110728628800917,0.4606021360061564,0.5836866335997257,0.598951693675638,0.8107755102040817,0.8956465649188787,0.6016900373522749
12,RED2,0.9501109658589973,0.8664836378554072,0.9173838209982788,0.4602173545807759,0.5790341958055693,0.7386108412464613,0.8296054421768707,0.8995331700704072,0.7036997122037841
