,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7551150700757,0.9307330619457856,0.9684452094090649,0.4411002871783321,0.5456289776967769,0.9937923571783276,0.7641224489795918,0.9194527047710674,0.6244988059518707
1,KNN,0.9150579150579151,0.929439237590331,0.9145152036718303,0.47925934268070647,0.6228152239606768,0.8829436963397181,0.8521768707482993,0.8514070494599205,0.516158226685445
2,KthNN,0.8843826954063174,0.9266622487298432,0.9082042455536432,0.4678097490474314,0.5986452340843028,0.8778342476458079,0.8324625850340136,0.8498573271526654,0.5174324903557651
3,LOF,0.9842823701091419,0.7915049386222349,0.9110728628800918,0.5059969592882483,0.6806938924360265,0.5373244595211943,0.8417551020408164,0.855955088118249,0.5101714530647236
4,CBLOF,0.4901954823214666,0.25488339802455107,0.23293172690763048,0.5539820185070481,0.5229325183100151,0.39361089602622495,0.5573197278911565,0.42043118904972226,0.5358079725675096
5,uCBLOF,0.8512753473383393,0.8831455710183345,0.9208261617900173,0.47880886686562685,0.532805062393318,0.9155681285729464,0.8250476190476191,0.858786679494468,0.5189994489008634
6,LOoP,0.9839783540570942,0.7775884376281991,0.8967297762478486,0.5134110404114346,0.7049068452317184,0.5129512355639398,0.8454557823129252,0.8455990073031007,0.501020145735105
7,LDCOF,0.8482047852126592,0.8675250086780901,0.9047619047619048,0.5169679223680013,0.5293258470725402,0.9704040988512299,0.7600408163265306,0.8021767175405605,0.5261086277631498
8,HBOS,0.7855166752804548,0.8424689955505065,0.9667240390131957,0.44743510332789005,0.5372151363163213,0.9969331485599164,0.6999319727891157,0.925815585778633,0.7315412405853898
9,OCSVM,0.5468336728179248,0.5483290731799679,0.5335628227194492,0.5615321808660396,0.5278561246598676,0.9712393501132668,0.532795918367347,0.542561332925176,0.5353462739575041
10,Nu-OCSVM,0.27923874380567293,0.48171289721985544,0.3080895008605852,0.4930598569739287,0.5387509072429456,0.9737698694483576,0.5402040816326531,0.2655491538024227,0.5353462739575041
