,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.008838081059867517,0.3780049783163254,0.24224242073418684,0.015408924822979538,0.044005380176535665,0.030297553729203952,0.20653861808311058,0.2837243154037283,0.061878124239088624
1,KNN,0.018049250736489837,0.3730240545962836,0.22713414157902584,0.015839192418749037,0.05805721687341011,0.030729773533044867,0.24661937542908935,0.28968636033803336,0.06392147299346465
2,KthNN,0.015816825406350564,0.3671276144283122,0.22722369635082706,0.015529753730498296,0.05367342323004107,0.028625261154521926,0.23588773523280526,0.2880377452363737,0.06033302914793391
3,LOF,0.014670772309056385,0.17183927650683575,0.09463177983129745,0.017258800901088618,0.055779328853549456,0.03430721699544521,0.17348937391684263,0.10824127430010942,0.06827305378294439
4,CBLOF,0.0015498005092247896,0.0924448086096818,0.017341522063803783,0.017110346781656273,0.029404340853933206,0.020075000904311087,0.055354147527874834,0.008426219274589806,0.06608392005341096
5,uCBLOF,0.013049519685232994,0.3506698321589917,0.21875955310616965,0.015518815466687298,0.050663442086358354,0.036716626687687624,0.2169200691110335,0.3010685936751451,0.05733556679162011
6,LOoP,0.01039469360558671,0.16976377780608806,0.07083138587478684,0.016768840009232722,0.06436244639860117,0.046983266609233035,0.19379485086380163,0.08221344492354181,0.07265334464012194
7,LDCOF,0.00501851254469973,0.090714199222835,0.20308151669758812,0.037196724718186185,0.04164608897415147,0.013187366707916669,0.12567046289091766,0.07234877528205683,0.07182736162575075
8,HBOS,0.007478841156079896,0.5045512398360019,0.2682801828021624,0.015885511789309026,0.04123426257804654,0.029466006746338216,0.16594747151347713,0.1285024432326859,0.12620288679058508
9,OCSVM,0.01098639145523116,0.33189670195970433,0.21993288979842185,0.020137592498824304,0.05230692792464996,0.027932335933550476,0.23320494449649604,0.28456474499461404,0.044735316973229675
10,Nu-OCSVM,0.011097998171452544,0.32616023060324867,0.2234533508585057,0.014603669184476576,0.051558965037366435,0.02551757977605945,0.2319342768442629,0.2824476088992504,0.044735316973229675
11,RED1,0.010559270050469492,0.40698077936162247,0.23499349705757472,0.015772923613831702,0.04951905433348891,0.029397127432967733,0.21484923731251374,0.2735411544669297,0.04509548917391526
12,RED2,0.010897531833842173,0.3962370720956093,0.25226834346236787,0.01574482294013061,0.043747550869160524,0.030808034526471816,0.23221192732369192,0.26805111345458654,0.07237469075937555
