,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9101328550147448,0.8326548644640096,0.8577165806081469,0.45400454229780207,0.5960134344490748,0.5910180806342834,0.8174013605442176,0.9031573883762628,0.672086828730635
1,KNN,0.946797190891679,0.837419924895074,0.8129661503155479,0.46161101413367867,0.622782192729201,0.5809488211777037,0.8546666666666666,0.8983141645165522,0.7082126018002571
2,KthNN,0.9465539780500412,0.8345798226513933,0.812966150315548,0.4589597762636785,0.6108578205234646,0.5641937043018931,0.8513809523809523,0.8982103030568067,0.6902755495683057
3,LOF,0.8521873954944822,0.6939316482060021,0.8060814687320711,0.4801415244852375,0.6461818072458023,0.6389998794845199,0.6791156462585034,0.8305800935846416,0.6898603882187251
4,CBLOF,0.565530660018849,0.4240588216731358,0.27366609294320143,0.5535221577791543,0.4609886928291874,0.3864793861201328,0.48776870748299317,0.20382538155420477,0.6339330108382829
5,uCBLOF,0.9405344602194995,0.8029915743633437,0.7624784853700517,0.46215064662049293,0.5884296561984445,0.6633586313925754,0.8336190476190477,0.8937606594656055,0.6381164656175372
6,LOoP,0.8514881585747727,0.6865789390640286,0.7825588066551922,0.48722244120352126,0.6634210970921804,0.6723103072329417,0.6914285714285714,0.8002908120872875,0.6787294103239238
7,LDCOF,0.8492384397896209,0.6428413645113447,0.5851979345955249,0.48855979127953897,0.5811848246934346,0.48882457150122294,0.7125306122448979,0.8160668211833647,0.5790986467454534
8,HBOS,0.8990970723254187,0.8563223831613493,0.8542742398164085,0.4662518535202807,0.5832684007393638,0.6054496182869629,0.7665986394557822,0.8591857261555954,0.8359977956034536
9,OCSVM,0.9333596813911774,0.8023288838398182,0.7888697647733791,0.5346537905662857,0.5923504410562138,0.563119205606798,0.8430068027210884,0.8963462631740062,0.5415100116343151
10,Nu-OCSVM,0.932903657313106,0.7981634005490864,0.7986230636833046,0.44355444187923504,0.5878611228654682,0.5388702170578068,0.837469387755102,0.8952420518651332,0.5415100116343151
11,RED1,0.9313835770528684,0.8441099435135221,0.846815834767642,0.45932578786343076,0.593600745702369,0.6082301116972122,0.8274965986394558,0.9025560851882626,0.5694042006000857
12,RED2,0.931170765816435,0.8456877780933446,0.8732071141709696,0.45938209734031565,0.5909646079282097,0.6196093209169267,0.8422993197278912,0.9009872305068438,0.6941999877533526
