,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003484336911646956,0.4416476477154961,0.2251249339164535,0.014597024599915309,0.04008651368508611,0.27268984152632125,0.2069490638618202,0.19404786355251605,0.04976463469232126
1,KNN,0.00436838117335058,0.4143035505760826,0.23611149554918215,0.015712328872825553,0.05937654959553586,0.35141667806514915,0.26718168968132416,0.09548692222346236,0.045064940875490705
2,KthNN,0.0038342261921729516,0.409235165135176,0.25908390582551794,0.015561085040694896,0.0559041916565952,0.35537451692497346,0.24494607530130078,0.09577327469223734,0.045030087978332425
3,LOF,0.007954830198438392,0.29636434961584623,0.261531428699669,0.018158027504298645,0.050745969676224134,0.018283501373054543,0.23883994625666216,0.097440419362341,0.04485339460684896
4,CBLOF,0.0009614954873116831,0.10734155635867043,0.015760529268271484,0.01577503813812948,0.04320929453251086,0.09566372239209962,0.05697173399642589,0.03652551110325417,0.04197413636950542
5,uCBLOF,0.0031743794374562637,0.3927771276490033,0.1923707952420138,0.016391499675771602,0.03833324700217754,0.3964060751210747,0.23896960613558377,0.09001586229596706,0.04180361095320372
6,LOoP,0.008755977116889822,0.324139146639208,0.2609190367433178,0.01783811534686534,0.05724466287082877,0.025307033568582306,0.2663654930995397,0.10254223472417351,0.03979070296537336
7,LDCOF,0.0007437314067148321,0.23811787376906002,0.09675276360544217,0.016055558471796124,0.04397343779039927,0.2224799320018297,0.17870499419279903,0.027461850371943756,0.03952263440232175
8,HBOS,0.002906922454668051,0.4481847164613477,0.16337533587879036,0.014889547588505974,0.043207711105514704,0.3302916775891674,0.21158063424304402,0.1982669659068101,0.04533852989896635
9,OCSVM,0.003821798573348163,0.3790111049146721,0.259090820474617,0.015587659303576907,0.0356843018070868,0.19137498662900299,0.2075492456464848,0.08058164964652936,0.03750327659278249
10,Nu-OCSVM,0.0037914216113245085,0.3773030588206825,0.25873055936792755,0.015599533790455346,0.03538626086100204,0.19459965564640844,0.20605252462219245,0.0794900375189981,0.03750327659278249
11,RED1,0.0036074612233164497,0.4257079180686967,0.24615522225720582,0.01511335023474962,0.03593912524326689,0.08407720730398287,0.22132835239479154,0.13378588301929165,0.036741539934641895
12,RED2,0.0030028033714775988,0.45270488712435997,0.1887593099693844,0.015008558695878357,0.03487737728385348,0.04752474844811254,0.2306389703708202,0.16185765444305997,0.04928931461676273
