,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9113793208281398,0.830729906276626,0.8691910499139415,0.4819715824839987,0.5721416741879675,0.5942813238969459,0.8008707482993197,0.9052564831416452,0.7207862347682321
1,KNN,0.9262457057732648,0.8413645113446306,0.8697647733792312,0.4660031533307055,0.646763229454574,0.7606605369385042,0.8617687074829932,0.9015120041981894,0.8203282101524707
2,KthNN,0.9294682759249688,0.8412698412698413,0.8663224325874929,0.45719541265461644,0.6203129268393932,0.7287385086706175,0.855469387755102,0.901555735339135,0.8178801053211683
3,LOF,0.6576779253944608,0.6822241156237181,0.8479632816982215,0.46636447247405066,0.6915271878280804,0.7059949954227048,0.7370340136054422,0.8421797787204268,0.6723029820586615
4,CBLOF,0.42616970176025293,0.399760169143867,0.1566265060240964,0.5765996583891735,0.45807801084138583,0.5050242725311079,0.5041360544217687,0.3299241264704596,0.4827910109607495
5,uCBLOF,0.8912838597877968,0.8141310864968917,0.8393574297188755,0.45927886329935996,0.5820980936069391,0.5681142537709497,0.8413197278911565,0.9012714829229895,0.7986075561814953
6,LOoP,0.7221901316389505,0.6794155700716337,0.7928858290304073,0.4803855322184057,0.7142490343944393,0.710492235669168,0.728108843537415,0.7920584248043032,0.6228063192700998
7,LDCOF,0.8311798862979964,0.8009403894095743,0.8232931726907631,0.46107138164686445,0.5482846580196259,0.564509031909085,0.6740680272108844,0.8728899724493813,0.697226134345723
8,HBOS,0.8746237801355913,0.8634857521537441,0.8898450946643717,0.4681757606471836,0.5344375138374078,0.5488234198522373,0.7175646258503401,0.6392782175186951,0.813450492927561
9,OCSVM,0.9024412488979418,0.5078418378617187,0.5886402753872634,0.5454792874974191,0.6148988736573251,0.5971025836429663,0.46938095238095234,0.5047994927187649,0.8026220072255219
10,Nu-OCSVM,0.4483324719545192,0.5979677490611883,0.47791164658634533,0.5005912495072921,0.6266435408989137,0.5937651966071198,0.5265442176870748,0.22276643197621027,0.8026220072255219
11,RED1,0.920895023257228,0.8507368487487772,0.8806655192197361,0.4602455093192184,0.5706122082092431,0.61818198958573,0.805047619047619,0.8939355840293873,0.7272610372910415
12,RED2,0.9217766698081659,0.8520937864874246,0.8881239242685026,0.459870112806652,0.5669289748177033,0.5862970077254753,0.8071156462585034,0.8926564481567324,0.7631792296858735
