,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.014195499522164522,0.46497559668395255,0.32896977587988824,0.0,0.036771226320427765,0.12834423958366745,0.2691511203778004,0.25559634948526494,0.08728372133714968
1,KNN,0.02478223929054457,0.47348002909069425,0.3288595815857859,0.0,0.05159868590313489,0.2240517587048239,0.27689263854955437,0.27197031572346353,0.1276460251132656
2,KthNN,0.022096143028791062,0.482199782437035,0.3486846870655001,0.0,0.045367354201938076,0.20826594437835952,0.25059982222733657,0.2592266298482221,0.12529647098424446
3,LOF,0.028072643329614025,0.28048432790148364,0.27648145439468885,0.0,0.06014122300635949,0.05265411814401011,0.1855859212789066,0.2046785769491228,0.05573023200486622
4,CBLOF,0.0012265010202897149,0.09785595574567559,0.014640169595360675,0.0,0.027264841283214724,0.07540344907029803,0.05652706009200424,0.009058870405666875,0.024397096985805968
5,uCBLOF,0.010761623129912721,0.4398813209067525,0.27667616322112615,0.0,0.03853205236884997,0.13539233744122856,0.2306846543142021,0.26915007448701955,0.09078815846816099
6,LOoP,0.020690231861380574,0.24279848650386726,0.09107683741370373,0.0,0.06868018254264296,0.05942217578323197,0.18692990425996223,0.11815809898023219,0.04869098184455453
7,LDCOF,0.004846802261596891,0.3541780876553683,0.4196193077966461,0.0,0.03449234680493193,0.086799195080426,0.1464211437411842,0.2321509459238107,0.13839078911491592
8,HBOS,0.007607437922435099,0.4987386825182078,0.3093251945957256,0.0,0.031327456754189534,0.4019014594732427,0.13539089193830842,0.03385405980357598,0.13752379399700151
9,OCSVM,0.002688166559781636,0.2165976360067951,0.06314014675658532,0.0,0.06462832809163013,0.19493019022437758,0.06383371312363567,0.015833816033154067,0.1304422855770109
10,Nu-OCSVM,0.0014270022008551256,0.10969978990081128,0.020552789047154553,0.0,0.06474452277380373,0.21583443539170485,0.0739309229798635,0.008507022467033906,0.1304422855770109
11,RED1,0.012578823544194827,0.45286065040845025,0.3374373660356297,0.0,0.036771177697488895,0.11258915452350139,0.1996694481058303,0.2806615309745652,0.07577969973017747
12,RED2,0.012988815075309596,0.4578821979151532,0.34161182580553406,0.0,0.03542650673890085,0.06484276013393031,0.19888678849805755,0.2738236938524569,0.0986663176410158
