,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00245873757722314,0.5063932539415761,0.47205678124519346,0.020446162010108813,0.03398487760388515,0.9436405573458934,0.17303439492500544,0.5660248831724227,0.06640698669476922
1,KNN,0.005794055610767795,0.4284637701398566,0.32673185017130313,0.01606850772755465,0.067956879524245,0.29252085655009985,0.26860570427057456,0.11975354496539549,0.045931591663165135
2,KthNN,0.004961407335688051,0.42138068598271405,0.3280573254901851,0.016042592796589622,0.05934200492492668,0.30424601567596965,0.24565023837234776,0.11940418710043234,0.045705994805721115
3,LOF,0.017477463635319018,0.3140026881476038,0.29321058147947954,0.018506316635764287,0.06986644605453152,0.02113649960416239,0.2624748548581623,0.11074566585536914,0.04121208720672337
4,CBLOF,0.0010784045129629577,0.09405911913506071,0.026910083746413314,0.017683688101386843,0.04047033667585411,0.010902071854390962,0.06159406262632772,0.009791604171904795,0.036873287723645426
5,uCBLOF,0.003240609827463127,0.4198878050491361,0.3558682988120621,0.016274434879968387,0.03832687063215088,0.04384893161861707,0.23967201070286995,0.11214903184247636,0.04695592726945545
6,LOoP,0.012078172723455136,0.3460685982001893,0.28772305776081486,0.01814141819477143,0.08155574047935372,0.023867988380221708,0.2890151842214811,0.11034980281688862,0.044942721239869546
7,LDCOF,0.0015840798561316755,0.31986250735199073,0.23757440476190475,0.020537826376286143,0.3494952741702742,0.25510591802190796,0.20907738095238096,0.030244712284809367,0.01807477793844247
8,HBOS,0.00357409460124839,0.4428178052826114,0.3701644024914168,0.016245979376720968,0.03491400142103545,0.9424579694581632,0.1478642313673033,0.6206305085409028,0.13809250287991895
9,OCSVM,0.006203930767626471,0.47328623595980923,0.02343193000362963,0.014085345210394208,0.04722525526039906,0.6928322893105174,0.06876744984584829,0.015145049955140707,0.0462936173476382
10,Nu-OCSVM,0.006413864906432523,0.19677178004611823,0.023607583574795605,0.014386470291411432,0.04830060192712952,0.6847951931806332,0.06283932339224413,0.015881861333946323,0.0462936173476382
