,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.715927400966771,0.8259332891539651,0.8594377510040161,0.4795971995420163,0.5281123956838001,0.8763045673328651,0.803891156462585,0.78755411728692,0.5044020574367768
1,KNN,0.860760648162223,0.8486541071034113,0.8812392426850258,0.49857349325224776,0.5241859475321207,0.9878918377387729,0.8413061224489796,0.764994314951677,0.5987324719857939
2,KthNN,0.8347672757121576,0.8471236075609833,0.8795180722891566,0.49872365185727424,0.5219163476251437,0.9849104172510903,0.8258503401360545,0.7656721476363317,0.5816643193925662
3,LOF,0.9117441400905968,0.8065890372053394,0.8823866896156052,0.5037539651256641,0.5285206131623209,0.6629771094476747,0.844421768707483,0.7712970656404425,0.6408070540689486
4,CBLOF,0.41899492293193075,0.3509735239357506,0.16924842226047046,0.5145559997747622,0.5239418679339947,0.8109121798855332,0.3952380952380953,0.40879323916560983,0.5856114138754516
5,uCBLOF,0.799623020095461,0.8253337120136325,0.8783706253585771,0.5042419805920003,0.5213731317267657,0.8312275227801009,0.8237278911564626,0.755395329514147,0.5552042128467332
6,LOoP,0.9218070714133706,0.7879705891634321,0.8766494549627079,0.5050725453760535,0.5325486239813881,0.642019722243667,0.8382448979591837,0.7747846241308436,0.6681213642765292
7,LDCOF,0.8042136624813792,0.5613304301177064,0.5662650602409638,0.5120408431405672,0.5234415452099358,0.8840150866017107,0.7573741496598639,0.7185846416233,0.48668422019472174
8,HBOS,0.7238318183200073,0.8415538514942094,0.8301778542742398,0.4956923250183005,0.49837132873485024,0.789557346386714,0.805061224489796,0.7929275812305944,0.58971159145184
9,OCSVM,0.7473626607484875,0.7940925873331439,0.8651749856569133,0.505809261031965,0.5182296967286583,0.5531079107838933,0.8011428571428573,0.7585658372326933,0.5012846733206784
10,Nu-OCSVM,0.7439576809655548,0.7863611978920129,0.8697647733792312,0.5239502975017362,0.5219276602639642,0.5612067039220018,0.793047619047619,0.7574561595312022,0.5012846733206784
11,RED1,0.7323138661721339,0.8434472529899966,0.8565691336775674,0.4953544681569908,0.4924385819960148,0.5708042204368265,0.7959591836734695,0.7552641360913106,0.5015883901781887
12,RED2,0.7155321800991092,0.8404809239799298,0.8600114744693058,0.4943408975730616,0.4925148830248038,0.8654622252763002,0.7984897959183674,0.786570166615647,0.5974184067111628
