,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.014884715528950102,0.48986957013039745,0.4555146196409598,0.017865324513242926,0.039618337869159984,0.4315620597689117,0.18595317142711337,0.6034134647979704,0.06185661279468203
1,KNN,0.022241988040891548,0.39260602963441366,0.41894685591686115,0.01758610294145638,0.06849599847561853,0.17852349374376977,0.28474541630249306,0.2599060567263151,0.0634199131075828
2,KthNN,0.02019457163686714,0.38801013002067597,0.4196621663486838,0.016088130216189756,0.06565559084163032,0.15858793861895357,0.2749488658550346,0.25900539369387393,0.062019787208941864
3,LOF,0.03916604495718288,0.3631412760671705,0.5352239223048837,0.019436224485732432,0.0671859673518041,0.02300939378849795,0.2648826709372537,0.19839299848018477,0.06119201970853678
4,CBLOF,0.0008256575739314367,0.09977384062033454,0.020038628516097827,0.0210626279922018,0.03390141667014053,0.1320365935973358,0.04369411068101288,0.011460883087578578,0.05764234528084844
5,uCBLOF,0.017409938282726443,0.34645742525722445,0.41842814142714835,0.016276493032429985,0.06304222398931106,0.07225723631829466,0.27348254320266113,0.2518630777532717,0.0547579614884135
6,LOoP,0.024165521199148127,0.3562737003176849,0.5433925158925159,0.02136956296380236,0.07781211403347811,0.023735896404703805,0.273640064322304,0.19810817025822505,0.060274299642510604
7,LDCOF,0.005433831545515711,0.293827563459904,0.2530505952380952,0.015039318606186953,0.01586635605434345,0.06313362034077011,0.209375,0.1628320286934421,0.04737460700648056
8,HBOS,0.010051100849083987,0.463952083835833,0.42785882806891207,0.016344119914074362,0.03650552801947419,0.9101668958416609,0.16944818743703452,0.5636908551805565,0.11587825817075977
9,OCSVM,0.24125585615284484,0.1428199196972027,0.04383669876562957,0.018101135061690865,0.08300829418967208,0.08681653137435087,0.4241965942120937,0.01372464925394459,0.058283295967232515
10,Nu-OCSVM,0.17014962578782442,0.1466616941340092,0.04036111329145484,0.020224264812051404,0.0822519238921472,0.09573405495381174,0.05682558853012279,0.018296811993030734,0.058283295967232515
