,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01012327756424609,0.5251843526814924,0.5191707838610338,0.017865324513242926,0.037981236915838844,0.4571973247821214,0.15635385750625708,0.6283919740213867,0.07198852832822981
1,KNN,0.024258653559499032,0.4258483984601378,0.42899052915863944,0.01758610294145638,0.06605988351283211,0.3363705100851085,0.3209315281994816,0.3125172343948432,0.098534392535174
2,KthNN,0.02167072824121139,0.42003321108335934,0.4308920784070653,0.016088130216189756,0.06006546550344516,0.28338427778656017,0.305610351504804,0.30633602598375,0.09844226176232522
3,LOF,0.058656125265447306,0.33982377290772514,0.5360857743040264,0.019436224485732432,0.06835419556030062,0.03631170159797854,0.3358250999607483,0.2694600338061162,0.06211453053275253
4,CBLOF,0.000991212954161318,0.10587586902088084,0.014816487219268197,0.0210626279922018,0.02868264641067112,0.07679448332509625,0.045265942068624984,0.009009765538769332,0.05293337580702688
5,uCBLOF,0.016669831368487084,0.4444501914580415,0.42759256897679443,0.016276493032429985,0.0528905124329862,0.15558185984920467,0.31577842256449484,0.31839474436378157,0.10929118743693828
6,LOoP,0.031003724654455767,0.33296267619583253,0.4384438966348944,0.02136956296380236,0.07890447576161816,0.033043564249805014,0.33126650894588006,0.2518568122562763,0.055375766350854484
7,LDCOF,0.014283016622745847,0.2214369846878681,0.24947916666666667,0.013847404766300132,0.05821586220653127,0.08572526151266714,0.22648464237321936,0.16388014185115465,0.09447770932819845
8,HBOS,0.01092003614319055,0.4418006088861821,0.5209965785624384,0.016344119914074362,0.03870453049559727,0.8958423594682838,0.14670954509621148,0.583764799577326,0.1588584375758134
9,OCSVM,0.0020800520624525893,0.10428735714817723,0.03290787170589357,0.018101135061690865,0.08435737621994399,0.19533772715872938,0.07528627704497697,0.012543823648896385,0.09550840386185803
10,Nu-OCSVM,0.0014822824185329484,0.10539898662825947,0.02381557243829182,0.020224264812051404,0.08358248052952104,0.22421745350385236,0.06695781620805602,0.008174329650916783,0.09550840386185803
