,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7872495667771259,0.7655653381299504,0.8347676419965576,0.44827974548116445,0.5972567785443403,0.5774028888554265,0.8346938775510204,0.6085406918266497,0.6598738595309535
1,KNN,0.8236402882072174,0.7627567925778661,0.7969018932874354,0.45218856166826205,0.6232777727933352,0.5798633665298701,0.84578231292517,0.5858059649276249,0.6821247933378237
2,KthNN,0.817225549509014,0.7611631796522452,0.7928858290304073,0.4504664301668638,0.6135306860140409,0.5634615409114385,0.8406530612244897,0.5988542441072288,0.6640530279835895
3,LOF,0.741221536497127,0.7335984095427436,0.8060814687320712,0.46368977232201514,0.6384580786803934,0.6365625876635462,0.80221768707483,0.5556041457121617,0.7204665972689976
4,CBLOF,0.4556896604140699,0.43740730221843543,0.2421113023522662,0.5320588621731703,0.5049609059752604,0.4779691332592914,0.32989115646258504,0.5924175667993178,0.5393913416202314
5,uCBLOF,0.7890432614842064,0.7537946921644735,0.7986230636833046,0.4497156371417309,0.5942027845328134,0.5290220385359077,0.8493605442176871,0.5440673240914855,0.5853223929949176
6,LOoP,0.7393974401848418,0.7243522989049828,0.7888697647733792,0.4745762711864407,0.6540948097892072,0.671046321513389,0.8111700680272109,0.5883615034766256,0.6935398934541669
7,LDCOF,0.7368133037424376,0.7004954400580643,0.772231784279977,0.456407079978227,0.4586812771838108,0.5017862534387041,0.7690884353741497,0.5943526697861546,0.495385463229441
8,HBOS,0.8410148055817347,0.7791504938622236,0.8341939185312679,0.45620999680912966,0.5489320868953499,0.498076211135987,0.8175238095238095,0.5879050596930073,0.7496668911885371
9,OCSVM,0.8032712127200317,0.7572659282400832,0.7401032702237522,0.5454792874974191,0.598486201537827,0.5426380456414799,0.8536734693877551,0.6161635763327066,0.5585040720102872
10,Nu-OCSVM,0.8103547867327394,0.7603269273249392,0.7946069994262766,0.5005912495072921,0.595120907698241,0.5589222094232913,0.6047687074829933,0.6188038439672892,0.5585040720102872
11,RED1,0.8162830997476668,0.7839313326390861,0.8192771084337349,0.455937834337519,0.5930288088134468,0.6081745166068038,0.8053061224489796,0.5741379498841124,0.49043169432367895
12,RED2,0.8000182409631228,0.7797027359651614,0.8554216867469879,0.45503688270735965,0.5978037885706583,0.6145845133276617,0.8452108843537415,0.5741379498841124,0.6425852672830812
