,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.002828965878306631,0.44497102014847517,0.19976112483819364,0.015452527077332731,0.03740688341195851,0.30842565232769703,0.24309679856677807,0.18478639866087831,0.052474538424466574
1,KNN,0.006628125316173183,0.465009411206763,0.19971886521648538,0.015512368035787013,0.056794714990589225,0.2668101176260097,0.30064562554186186,0.13939898572480275,0.04499954306659262
2,KthNN,0.0055664602535496766,0.4575193048678239,0.2138160486634603,0.01544816337162735,0.05209186592121899,0.36948162457129896,0.2660887373599479,0.1387454058958642,0.0450793279426111
3,LOF,0.019517878880513914,0.3754561289885996,0.28182782768259074,0.016946504362486403,0.04910038557434927,0.01761954639919323,0.2935729420306771,0.12796769400743319,0.04344602613134567
4,CBLOF,0.001613022714113043,0.0691850884620233,0.017994799548886352,0.019287540567884783,0.03697909953954339,0.2975644639335331,0.05616403280705167,0.014469312791905905,0.039196852374426557
5,uCBLOF,0.004313901002669325,0.4296924590667336,0.2422005186952014,0.016004074238662156,0.04706419566981909,0.10139533447371836,0.2242544779519011,0.11645025911809337,0.04285671567288607
6,LOoP,0.022592923273097157,0.3511980459357576,0.27326704377781225,0.017277101176033722,0.0528576191698729,0.0228260901058521,0.3153123687193591,0.1246089687504373,0.040321780984951726
7,LDCOF,0.0029381703728563985,0.514440852142465,0.2974330357142857,0.017944550207945935,0.04204215655121753,0.09694869358586715,0.1913792881953264,0.03838444113739208,0.05513654237338704
8,HBOS,0.0028661739543748084,0.45996698169877875,0.1669811419948575,0.014758354994878405,0.038739393117643406,0.2556212707838879,0.21287125819724528,0.19439182321585624,0.05002157483526444
9,OCSVM,0.0038548585910257523,0.399091903694907,0.21075891829629964,0.015829663268367197,0.03701668580132784,0.15589795595360234,0.23048219954065016,0.12058780694249857,0.03958248993361941
10,Nu-OCSVM,0.0038716363613043527,0.3935151202971108,0.2119016278682669,0.01585959995220242,0.03700959373675979,0.16012109944271274,0.22976839678215752,0.11976737152051144,0.03958248993361941
11,RED1,0.0030698700008212837,0.4476385970369173,0.21905922894550106,0.014647216849491907,0.03490545258807945,0.029840100657358957,0.20992976782231534,0.17750517858983025,0.039991536672274716
12,RED2,0.0027293326045149885,0.46105768373929273,0.19076462362180002,0.014509041293601357,0.03439474338140601,0.025935082525253166,0.21423051486321215,0.19216596094315622,0.04718535722089401
