,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.004007711030611251,0.28744561949653563,0.25335179305246036,0.014541948278899187,0.041818405306215806,0.029004373147379484,0.24726723423308444,0.028022367536399036,0.06404955388410416
1,KNN,0.004122127103669252,0.2896711806388351,0.12448040861998748,0.014594233477634944,0.08677933777860945,0.032544316448878445,0.28460538829085824,0.026865331398232564,0.07428569365436907
2,KthNN,0.004324168185314619,0.28301374877059265,0.12366413374913114,0.014183498489399069,0.07744855411740695,0.02980834586756479,0.2703407109638503,0.02772067375253307,0.07034137055823377
3,LOF,0.0028984778469986496,0.26846362051525063,0.12422283290726716,0.01404687335769091,0.07051581406172501,0.045026001329807566,0.2811126510475429,0.020597512583201645,0.08576447881834476
4,CBLOF,0.001084532320559329,0.08612141207504401,0.01565858245908665,0.017209800924039183,0.03230647632469526,0.026857408177277657,0.04359875875869078,0.024389700277115622,0.09532933158347101
5,uCBLOF,0.005168218226628239,0.26808977605103385,0.10948985510272258,0.013993039321225437,0.06910000942996622,0.02887090192016556,0.23124527921202206,0.023496482509554377,0.058887710787237216
6,LOoP,0.0019622011779065153,0.25375861346036144,0.24097970621856696,0.014345961808972341,0.07838754788739552,0.05764431285181995,0.2915932163311663,0.019069736124382203,0.08056853137462364
7,LDCOF,0.0022181454166796686,0.1560897350136908,0.16333705357142858,0.012955115616219608,0.060072051085685,0.027167824520811353,0.20316882365101607,0.026187693280691655,0.04960717179595894
8,HBOS,0.004332221676385209,0.3161216385606937,0.25280535700554796,0.014969834357487933,0.05043903575798446,0.02960424878637636,0.21561530812883936,0.025038180091802663,0.11759109400083254
9,OCSVM,0.00401382898797754,0.25275678920256905,0.10870735935784069,0.01971338287374909,0.07145777655225974,0.027542931578429766,0.2341594280076186,0.027724240309685656,0.030849645919866255
10,Nu-OCSVM,0.003816307063091484,0.2464596604676591,0.11113344163242211,0.016831303322758714,0.07117693900697177,0.026897610665694967,0.24159177310916352,0.027830755810762442,0.030849645919866255
11,RED1,0.00446787019276733,0.30770233062734487,0.13488621201102918,0.015264109416955988,0.06294865920674586,0.030019265310804524,0.21698016115738258,0.02550196836026851,0.047080831760259706
12,RED2,0.0042167433416087285,0.29889631931524907,0.2725278378566911,0.015037455889713667,0.043105545489372704,0.028454260189421925,0.2339495524411544,0.02550196836026851,0.07093517775927127
