,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7549326604444715,0.8878475180662059,0.9655765920826163,0.44229217110573044,0.5708562320113699,0.9942972992047762,0.7377414965986394,0.9513053745572222,0.5946304574122834
1,KNN,0.8301462317210349,0.8211366720313042,0.8519793459552495,0.4584154513204573,0.653102882465951,0.9099107293683485,0.8661360544217687,0.9579962391218786,0.7688469781397342
2,KthNN,0.8291277779466756,0.8128372621414371,0.8485370051635112,0.45107644949978415,0.6293369114191645,0.9285276957567594,0.8595374149659865,0.9574823982157695,0.7577447798665116
3,LOF,0.6108594533791385,0.8131212723658052,0.844520940906483,0.4600202714116786,0.7058884223971389,0.5655052337605391,0.8357142857142857,0.9352505794376175,0.7536770559059457
4,CBLOF,0.30322561031222445,0.4141500205118495,0.17785427423981642,0.5446158755185164,0.4518291100225683,0.7660208005132483,0.40208163265306124,0.3847028468972755,0.5370412099687709
5,uCBLOF,0.8102331803119205,0.8169396320489759,0.8112449799196787,0.4484580588246335,0.5952216752726416,0.972476098824732,0.8408571428571429,0.886982332619058,0.7213630518645521
6,LOoP,0.6202231477822029,0.8101233866641421,0.8301778542742397,0.4680678341498208,0.7275071820610061,0.578606260129479,0.8252108843537415,0.9311398521887436,0.7143726654828241
7,LDCOF,0.76131699753747,0.5108397235633816,0.633964429145152,0.4289843647352516,0.5004734848484849,0.8840340429478444,0.5147482993197279,0.9199665456771766,0.5022135815320556
8,HBOS,0.8294469948013254,0.8137839628893307,0.961560527825588,0.4516770839198904,0.5559091952476092,0.9975896394395953,0.7359455782312925,0.9285159837320156,0.8182891433470088
9,OCSVM,0.8248563524154074,0.4878033386979709,0.4790590935169249,0.5454792874974191,0.6075869056163806,0.8633786068971037,0.555108843537415,0.9128493024883019,0.7335815320555998
10,Nu-OCSVM,0.8280485209619067,0.4955978415222948,0.312679288582903,0.5005912495072921,0.6102046307108321,0.9278210622840817,0.4477414965986395,0.9112804478068832,0.7335815320555998
